,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,6.4,0,0,0,0,0,6.4,0,0,1,0,0,3.3
"Jan 1, 01:00 am",0,5.8,0,0,0,0,0,5.8,0,0,1,0,0,3.3
"Jan 1, 02:00 am",0,5.2,0,0,0,0,0,5.2,0,0,1,0,0,3.3
"Jan 1, 03:00 am",0,4.6,0,0,0,0,0,4.6,0,0,1,0,0,4.9
"Jan 1, 04:00 am",0,4.1,0,0,0,0,0,4.1,0,0,1,0,0,4.9
"Jan 1, 05:00 am",0,3.4,0,0,0,0,0,3.4,0,0,1,0,0,4.9
"Jan 1, 06:00 am",0,2.8,0,0,0,0,0,2.8,0,0,1,0,0,6.3
"Jan 1, 07:00 am",69.3897,2.2,75.8438,50,93.3688,12,15,1.39754,27.4488,0.0693897,1,2,24.4533,6.3
"Jan 1, 08:00 am",780.942,3.5,65.7972,262,820.838,99,152,6.20979,229.548,0.780942,1,1,219.446,6.3
"Jan 1, 09:00 am",637.225,4.8,54.9178,52,673.534,142,160,7.87451,182.353,0.637225,1,1,181.369,3.6
"Jan 1, 10:00 am",1782.11,6.2,46.1331,380,1852.31,220,386,17.0136,523.003,1.78211,1,1,519.437,3.6
"Jan 1, 11:00 am",1003.44,7.5,40.8539,66,1049.26,223,255,13.7801,290.377,1.00344,1,1,289.993,3.6
"Jan 1, 12:00 pm",1527.27,8.8,40.486,225,1588.87,248,359,19.8879,452.703,1.52727,1,1,451.44,2.2
"Jan 1, 01:00 pm",2034.26,10.1,45.1501,585,2113.57,170,431,26.0756,623.115,2.03426,1,1,618.076,2.2
"Jan 1, 02:00 pm",1707.98,10.6,53.5411,659,1775.61,103,337,24.6282,526.975,1.70798,1,1,515.719,2.2
"Jan 1, 03:00 pm",978.239,11.1,64.1962,463,1023.37,79,182,17.8401,304.331,0.978239,1,1,288.059,3.4
"Jan 1, 04:00 pm",197.084,11.7,74.9997,197,223.58,12,27,12.4745,72.9548,0.197084,1,3,61.4349,3.4
"Jan 1, 05:00 pm",0,11,0,0,0,0,0,11,0,0,1,0,0,3.4
"Jan 1, 06:00 pm",0,10.4,0,0,0,0,0,10.4,0,0,1,0,0,1.8
"Jan 1, 07:00 pm",0,9.8,0,0,0,0,0,9.8,0,0,1,0,0,1.8
"Jan 1, 08:00 pm",0,9.3,0,0,0,0,0,9.3,0,0,1,0,0,1.8
