,"Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","AC inverter power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,1.5
"Jan 1, 01:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,2.1
"Jan 1, 02:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,1.5
"Jan 1, 03:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,1.5
"Jan 1, 04:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,2.1
"Jan 1, 05:00 am",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,2.1
"Jan 1, 06:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,3.6
"Jan 1, 07:00 am",0,78.9564,0,7,26.259,3.52116,7,-1.67802,6.78892,0.00352116,1,2,6.78892,3.6
"Jan 1, 08:00 am",0,71.4175,1,75,326.906,298.308,75,0.212167,85.2407,0.298308,1,1,85.1896,3.6
"Jan 1, 09:00 am",-1.1,59.3751,1,172,705.787,668.708,172,1.48572,184.941,0.668708,1,1,184.915,4.1
"Jan 1, 10:00 am",-1.7,48.7025,2,252,1016.82,971.867,252,2.61695,267.711,0.971867,1,1,267.687,4.6
"Jan 1, 11:00 am",-2.2,40.581,1,305,1219.34,1168.82,305,2.96622,321.486,1.16882,1,1,321.48,5.2
"Jan 1, 12:00 pm",-2.8,36.7652,1,361,1455.48,1398.02,362,3.67098,384.897,1.39802,1,1,384.894,5.2
"Jan 1, 01:00 pm",-2.2,38.5619,1,344,1382.91,1327.63,344,4.01433,366.245,1.32763,1,1,366.241,5.2
