Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
0.5,-4.6,-12.5,-13.4267,50,4.2,330
1.5,-5.8,-12.6,-13.3755,55,4.1,320
2.5,-5.9,-12.7,-13.4691,55,4,330
3.5,-5.1,-12.8,-13.6477,51,5,340
4.5,-6.3,-12.9,-13.6233,56,3.9,360
5.5,-7.5,-13,-13.7084,61,3.9,350
6.5,-8.7,-14.1,-14.6478,62,3.3,360
7.5,-7.9,-13.2,-13.8889,62,2.7,340
8.5,-7.1,-12.3,-12.9334,63,4.7,350
9.5,-5.2,-11.4,-12.158,58,3.6,10
10.5,-3.4,-9.5,-10.2493,59,4,360
11.5,-1.6,-8.6,-9.44779,55,3.5,360
12.5,-0.8,-7.7,-8.46977,56,4.9,20
13.5,0,-6.8,-7.72081,56,5.4,360
14.5,-1.2,-7.9,-8.61828,57,4.8,20
15.5,-1.3,-8.1,-8.93795,56,5.8,10
16.5,-1.5,-8.2,-9.12524,56,4.6,40
17.5,-2.7,-8.3,-8.95929,62,3.6,40
18.5,-2.9,-8.4,-9.14878,62,4.5,40
19.5,-4.1,-8.5,-9.11625,68,2.9,20
20.5,-2.3,-7.6,-8.17363,64,3.9,30
21.5,-1.4,-7.7,-8.58376,58,3.8,40
22.5,-2.6,-8.8,-9.49544,59,2.7,20
23.5,-2.8,-8.9,-9.68389,59,3.2,20
24.5,-4,-10,-10.8148,59,3.1,20
25.5,-4,-10,-10.8148,59,4.6,10
26.5,-3,-9,-9.65964,60,4.1,20
27.5,-4,-10,-10.8148,59,5.1,10
28.5,-4,-10,-10.8148,59,3.6,10
29.5,-5,-8,-8.39708,77,4.6,10
30.5,-4,-9,-9.59381,65,3.6,360
31.5,-5,-10,-10.5466,65,5.1,350
32.5,-4,-10,-10.8148,59,5.7,350
33.5,-3,-10,-10.7565,55,6.2,360
34.5,-2,-9,-9.82166,55,5.7,360
35.5,-1,-9,-10.0961,50,5.7,360
36.5,0,-9,-10.2275,46,5.7,350
37.5,0,-8,-8.91947,51,5.1,340
38.5,0,-8,-8.91947,51,5.7,340
39.5,0,-9,-10.2275,46,4.6,340
40.5,-2,-10,-11.0209,50,3.6,350
41.5,-4,-10,-10.8148,59,2.1,310
42.5,-4,-10,-10.8148,59,2.6,320
