,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,8,0,0,0,0,0,8,0,0,1,0,0,4.9
"Jan 1, 01:00 am",0,7.4,0,0,0,0,0,7.4,0,0,1,0,0,4.9
"Jan 1, 02:00 am",0,6.7,0,0,0,0,0,6.7,0,0,1,0,0,4.3
"Jan 1, 03:00 am",0,6,0,0,0,0,0,6,0,0,1,0,0,4.3
"Jan 1, 04:00 am",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,4.3
"Jan 1, 05:00 am",0,5.1,0,0,0,0,0,5.1,0,0,1,0,0,5.2
"Jan 1, 06:00 am",0,4.6,0,0,0,0,0,4.6,0,0,1,0,0,5.2
"Jan 1, 07:00 am",224.393,4.8,75.4398,286,7,251.447,30,4.98777,83.8135,0.224393,1,2,66.8698,5.2
"Jan 1, 08:00 am",1148.55,5.1,63.9313,662,50,1198.49,214,17.4224,359.614,1.14855,1,1,336.712,0.2
"Jan 1, 09:00 am",1871.98,5.4,52.1431,803,69,1945.35,389,27.7943,585.865,1.87198,1,1,573.54,0.2
"Jan 1, 10:00 am",2241.12,6.7,42.1581,799,93,2328.36,500,34.6308,714.814,2.24112,1,1,709.563,0.2
"Jan 1, 11:00 am",2521.72,8,35.571,826,96,2620.37,568,34.0452,799.083,2.52172,1,1,796.256,1
"Jan 1, 12:00 pm",2586.59,9.4,34.4076,877,83,2687.98,593,36.5769,829.729,2.58659,1,1,827.079,1
"Jan 1, 01:00 pm",2394.33,10,39.1563,825,95,2487.7,539,35.4297,765.186,2.39433,1,1,761.116,1
"Jan 1, 02:00 pm",2116.5,10.5,48.0905,829,79,2198.91,447,28.3338,659.15,2.1165,1,1,649.965,2.2
"Jan 1, 03:00 pm",1464.1,11.1,59.3335,758,53,1523.65,286,23.4997,459.783,1.4641,1,1,440.208,2.2
"Jan 1, 04:00 pm",627.146,10.6,71.758,505,36,663.211,105,15.848,211.219,0.627146,1,1,185.006,2.2
"Jan 1, 05:00 pm",5.97256,10.1,79.3264,56,1,28.7559,2,9.17134,11.3418,0.00597256,1,3,7.78731,3.7
"Jan 1, 06:00 pm",0,9.7,0,0,0,0,0,9.7,0,0,1,0,0,3.7
"Jan 1, 07:00 pm",0,8.8,0,0,0,0,0,8.8,0,0,1,0,0,3.7
"Jan 1, 08:00 pm",0,7.9,0,0,0,0,0,7.9,0,0,1,0,0,3.3
"Jan 1, 09:00 pm",0,7.1,0,0,0,0,0,7.1,0,0,1,0,0,3.3
"Jan 1, 10:00 pm",0,6.3,0,0,0,0,0,6.3,0,0,1,0,0,3.3
"Jan 1, 11:00 pm",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,5.1
"Jan 2, 12:00 am",0,4.9,0,0,0,0,0,4.9,0,0,1,0,0,5.1
"Jan 2, 01:00 am",0,4.3,0,0,0,0,0,4.3,0,0,1,0,0,5.1
"Jan 2, 02:00 am",0,3.7,0,0,0,0,0,3.7,0,0,1,0,0,3.2
"Jan 2, 03:00 am",0,3.1,0,0,0,0,0,3.1,0,0,1,0,0,3.2
"Jan 2, 04:00 am",0,2.3,0,0,0,0,0,2.3,0,0,1,0,0,3.2
"Jan 2, 05:00 am",0,1.4,0,0,0,0,0,1.4,0,0,1,0,0,2.8
"Jan 2, 06:00 am",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,2.8
"Jan 2, 07:00 am",225.617,1.6,75.4906,293,6,252.697,30,1.79563,83.6766,0.225617,1,2,66.2931,2.8
"Jan 2, 08:00 am",1207,2.7,63.9892,680,49,1258.65,217,10.0516,365.774,1.207,1,1,342.168,3.1
"Jan 2, 09:00 am",1983.25,3.7,52.1771,836,60,2060.66,393,17.2042,591.23,1.98325,1,1,578.366,3.1
"Jan 2, 10:00 am",2435.74,5.6,42.1561,837,86,2530.81,513,23.0137,735.038,2.43574,1,1,729.538,3.1
"Jan 2, 11:00 am",2601.5,7.4,35.5187,832,102,2703.52,578,30.7571,811.308,2.6015,1,1,808.476,1.7
"Jan 2, 12:00 pm",2536.9,9.3,34.3038,744,141,2636.18,574,32.438,797.014,2.5369,1,1,794.791,1.7
"Jan 2, 01:00 pm",2519.15,10.1,39.0235,872,89,2617.68,560,33.1224,796.099,2.51915,1,1,791.853,1.7
"Jan 2, 02:00 pm",2058.99,10.9,47.9503,855,64,2139.22,446,32.9857,656.049,2.05899,1,1,646.686,1
"Jan 2, 03:00 pm",1394.29,11.7,59.1956,709,60,1451.64,279,26.8432,444.193,1.39429,1,1,426.052,1
"Jan 2, 04:00 pm",596.772,11.2,71.6268,465,38,632.105,102,17.7663,201.869,0.596772,1,1,177.866,1
"Jan 2, 05:00 pm",5.15465,10.8,79.2854,54,1,27.9228,2,9.79618,11.0094,0.00515465,1,3,7.58243,2.7
"Jan 2, 06:00 pm",0,10.4,0,0,0,0,0,10.4,0,0,1,0,0,2.7
"Jan 2, 07:00 pm",0,9.5,0,0,0,0,0,9.5,0,0,1,0,0,2.7
"Jan 2, 08:00 pm",0,8.6,0,0,0,0,0,8.6,0,0,1,0,0,0.9
"Jan 2, 09:00 pm",0,7.6,0,0,0,0,0,7.6,0,0,1,0,0,0.9
"Jan 2, 10:00 pm",0,7,0,0,0,0,0,7,0,0,1,0,0,0.9
"Jan 2, 11:00 pm",0,6.4,0,0,0,0,0,6.4,0,0,1,0,0,0.3
"Jan 3, 12:00 am",0,5.8,0,0,0,0,0,5.8,0,0,1,0,0,0.3
"Jan 3, 01:00 am",0,5.3,0,0,0,0,0,5.3,0,0,1,0,0,0.3
"Jan 3, 02:00 am",0,4.9,0,0,0,0,0,4.9,0,0,1,0,0,1
"Jan 3, 03:00 am",0,4.5,0,0,0,0,0,4.5,0,0,1,0,0,1
"Jan 3, 04:00 am",0,4.2,0,0,0,0,0,4.2,0,0,1,0,0,1
"Jan 3, 05:00 am",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,3.1
"Jan 3, 06:00 am",0,3.5,0,0,0,0,0,3.5,0,0,1,0,0,3.1
"Jan 3, 07:00 am",44.8195,4.3,75.5409,15,14,68.331,15,2.90322,18.9019,0.0448195,1,2,18.0107,3.1
"Jan 3, 08:00 am",406.61,5.2,64.0427,35,97,437.558,106,6.48532,118.336,0.40661,1,1,117.118,1.7
"Jan 3, 09:00 am",979.667,6,52.2058,131,183,1024.84,235,12.5454,283.711,0.979667,1,1,281.69,1.7
"Jan 3, 10:00 am",627.201,8.5,42.1479,4,181,663.267,183,12.7714,182.518,0.627201,1,1,182.491,1.7
"Jan 3, 11:00 am",846.188,10.9,35.4592,13,237,887.775,244,16.6741,248.618,0.846188,1,1,248.574,1.7
"Jan 3, 12:00 pm",628.316,13.4,34.193,2,188,664.408,189,17.6702,186.88,0.628316,1,1,186.874,1.7
"Jan 3, 01:00 pm",721.147,14,38.885,12,206,759.527,212,18.8332,214.82,0.721147,1,1,214.763,1.7
"Jan 3, 02:00 pm",984.363,14.7,47.8061,109,210,1029.66,259,22.7311,297.602,0.984363,1,1,296.423,1.2
"Jan 3, 03:00 pm",408.848,15.4,59.0552,12,118,439.846,122,18.4778,124.473,0.408848,1,1,124.168,1.2
"Jan 3, 04:00 pm",123.304,15.2,71.4941,0,42,148.328,42,14.7911,41.1807,0.123304,1,1,41.1807,1.2
"Jan 3, 05:00 pm",0,15,79.2452,0,1,3.51696,1,13.2796,0.969846,0,1,3,0.969846,2.4
"Jan 3, 06:00 pm",0,14.9,0,0,0,0,0,14.9,0,0,1,0,0,2.4
"Jan 3, 07:00 pm",0,14.2,0,0,0,0,0,14.2,0,0,1,0,0,2.4
"Jan 3, 08:00 pm",0,13.5,0,0,0,0,0,13.5,0,0,1,0,0,1
"Jan 3, 09:00 pm",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,1
"Jan 3, 10:00 pm",0,12.6,0,0,0,0,0,12.6,0,0,1,0,0,1
"Jan 3, 11:00 pm",0,12.3,0,0,0,0,0,12.3,0,0,1,0,0,3.9
"Jan 4, 12:00 am",0,12.1,0,0,0,0,0,12.1,0,0,1,0,0,3.9
"Jan 4, 01:00 am",0,12,0,0,0,0,0,12,0,0,1,0,0,3.9
"Jan 4, 02:00 am",0,11.9,0,0,0,0,0,11.9,0,0,1,0,0,3.8
"Jan 4, 03:00 am",0,11.8,0,0,0,0,0,11.8,0,0,1,0,0,3.8
"Jan 4, 04:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,3.8
"Jan 4, 05:00 am",0,13.1,0,0,0,0,0,13.1,0,0,1,0,0,5.7
"Jan 4, 06:00 am",0,13.8,0,0,0,0,0,13.8,0,0,1,0,0,5.7
"Jan 4, 07:00 am",0,14.6,75.5907,0,6,20.5553,6,13.4507,5.6727,0,1,2,5.6727,5.7
"Jan 4, 08:00 am",128.532,15.4,64.092,0,45,153.659,45,14.9701,42.695,0.128532,1,1,42.695,6.2
"Jan 4, 09:00 am",211.161,16.2,52.2294,0,70,237.944,70,16.2402,66.493,0.211161,1,1,66.493,6.2
"Jan 4, 10:00 am",280.34,17,42.1335,0,91,308.557,91,17.4313,86.692,0.28034,1,1,86.692,6.2
"Jan 4, 11:00 am",312.991,17.8,35.3926,0,101,341.9,101,18.2752,96.4293,0.312991,1,1,96.4293,9.7
"Jan 4, 12:00 pm",318.472,18.6,34.0752,0,103,347.499,103,19.1164,98.3855,0.318472,1,1,98.3855,9.7
"Jan 4, 01:00 pm",284.881,18.5,38.7409,0,93,313.194,93,18.8879,88.5804,0.284881,1,1,88.5804,9.7
"Jan 4, 02:00 pm",225.159,18.4,47.658,0,75,252.229,75,18.6598,71.2633,0.225159,1,1,71.2633,4.6
"Jan 4, 03:00 pm",149.59,18.3,58.9123,0,52,175.133,52,18.0747,49.3492,0.14959,1,1,49.3492,4.6
"Jan 4, 04:00 pm",70.9434,17.1,71.36,0,28,94.9522,28,16.3437,26.5466,0.0709434,1,1,26.5466,4.6
"Jan 4, 05:00 pm",0,15.8,79.2059,0,1,3.50128,1,14.2801,0.969846,0,1,3,0.969846,3.6
"Jan 4, 06:00 pm",0,14.6,0,0,0,0,0,14.6,0,0,1,0,0,3.6
"Jan 4, 07:00 pm",0,14.6,0,0,0,0,0,14.6,0,0,1,0,0,3.6
"Jan 4, 08:00 pm",0,14.6,0,0,0,0,0,14.6,0,0,1,0,0,6.1
"Jan 4, 09:00 pm",0,14.6,0,0,0,0,0,14.6,0,0,1,0,0,6.1
"Jan 4, 10:00 pm",0,14.4,0,0,0,0,0,14.4,0,0,1,0,0,6.1
"Jan 4, 11:00 pm",0,14.1,0,0,0,0,0,14.1,0,0,1,0,0,3.3
"Jan 5, 12:00 am",0,13.9,0,0,0,0,0,13.9,0,0,1,0,0,3.3
"Jan 5, 01:00 am",0,13.9,0,0,0,0,0,13.9,0,0,1,0,0,3.3
"Jan 5, 02:00 am",0,13.9,0,0,0,0,0,13.9,0,0,1,0,0,1.7
"Jan 5, 03:00 am",0,13.8,0,0,0,0,0,13.8,0,0,1,0,0,1.7
"Jan 5, 04:00 am",0,13.4,0,0,0,0,0,13.4,0,0,1,0,0,1.7
"Jan 5, 05:00 am",0,13,0,0,0,0,0,13,0,0,1,0,0,2.6
"Jan 5, 06:00 am",0,12.6,0,0,0,0,0,12.6,0,0,1,0,0,2.6
"Jan 5, 07:00 am",208.051,13.1,75.64,264,9,234.771,30,13.3148,80.4799,0.208051,1,2,64.7513,2.6
"Jan 5, 08:00 am",1108.5,13.6,64.137,621,63,1157.28,216,23.4152,355.974,1.1085,1,1,334.225,0.9
"Jan 5, 09:00 am",1711.85,14.1,52.2477,694,90,1779.61,367,31.1488,543.932,1.71185,1,1,533.194,0.9
"Jan 5, 10:00 am",2303.96,15.7,42.1128,862,86,2393.68,527,39.7461,753.955,2.30396,1,1,748.313,0.9
"Jan 5, 11:00 am",2624.53,17.3,35.319,784,155,2727.54,606,35.4788,837.309,2.62453,1,1,834.697,4
"Jan 5, 12:00 pm",1942.33,19,33.9505,369,264,2018.24,481,32.5083,609.756,1.94233,1,1,608.695,4
"Jan 5, 01:00 pm",1006.52,19.6,38.5912,65,243,1052.43,278,26.1821,308.223,1.00652,1,1,307.92,4
"Jan 5, 02:00 pm",1691.27,20.3,47.5061,461,179,1758.32,388,29.121,526.559,1.69127,1,1,521.695,5.7
"Jan 5, 03:00 pm",1338.17,21,58.767,625,78,1393.77,276,28.3421,427.529,1.33817,1,1,411.995,5.7
"Jan 5, 04:00 pm",587.71,20.1,71.2247,447,41,622.827,106,23.2104,202.378,0.58771,1,1,179.702,5.7
"Jan 5, 05:00 pm",7.09959,19.2,79.1675,60,1,29.9039,3,18.451,12.2462,0.00709959,1,3,8.44083,4.3
"Jan 5, 06:00 pm",0,18.4,0,0,0,0,0,18.4,0,0,1,0,0,4.3
"Jan 5, 07:00 pm",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,4.3
"Jan 5, 08:00 pm",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,3.6
"Jan 5, 09:00 pm",0,14.7,0,0,0,0,0,14.7,0,0,1,0,0,3.6
"Jan 5, 10:00 pm",0,14.5,0,0,0,0,0,14.5,0,0,1,0,0,3.6
"Jan 5, 11:00 pm",0,14.4,0,0,0,0,0,14.4,0,0,1,0,0,0.8
"Jan 6, 12:00 am",0,14.3,0,0,0,0,0,14.3,0,0,1,0,0,0.8
"Jan 6, 01:00 am",0,14.1,0,0,0,0,0,14.1,0,0,1,0,0,0.8
"Jan 6, 02:00 am",0,13.9,0,0,0,0,0,13.9,0,0,1,0,0,1.5
"Jan 6, 03:00 am",0,13.7,0,0,0,0,0,13.7,0,0,1,0,0,1.5
"Jan 6, 04:00 am",0,13.4,0,0,0,0,0,13.4,0,0,1,0,0,1.5
"Jan 6, 05:00 am",0,13,0,0,0,0,0,13,0,0,1,0,0,0.5
"Jan 6, 06:00 am",0,12.7,0,0,0,0,0,12.7,0,0,1,0,0,0.5
"Jan 6, 07:00 am",170.744,13.2,75.6887,209,9,196.71,26,12.8693,66.6149,0.170744,1,2,54.1463,0.5
"Jan 6, 08:00 am",976.448,13.6,64.1775,492,71,1021.53,192,20.0358,307.713,0.976448,1,1,290.441,2.3
"Jan 6, 09:00 am",1781.52,14,52.2607,751,73,1851.7,373,27.5667,556.968,1.78152,1,1,545.336,2.3
"Jan 6, 10:00 am",2302.56,15.6,42.0859,829,89,2392.23,514,34.2436,733.052,2.30256,1,1,727.639,2.3
"Jan 6, 11:00 am",2534.38,17.2,35.2383,834,96,2633.55,577,35.3639,808.233,2.53438,1,1,805.477,3.6
"Jan 6, 12:00 pm",2589.86,18.9,33.8189,858,92,2691.39,597,37.7663,835.484,2.58986,1,1,833.053,3.6
"Jan 6, 01:00 pm",2437.93,19.9,38.4361,883,75,2533.09,559,37.7776,788.156,2.43793,1,1,784.1,3.6
"Jan 6, 02:00 pm",2028.2,21,47.3505,829,69,2107.29,447,36.025,655.261,2.0282,1,1,646.629,3.5
"Jan 6, 03:00 pm",1385.32,22,58.6195,628,96,1442.39,296,32.1981,449.816,1.38532,1,1,434.363,3.5
"Jan 6, 04:00 pm",356.75,21.6,71.0881,157,56,386.602,79,23.9133,119.828,0.35675,1,1,111.912,3.5
"Jan 6, 05:00 pm",0,21.1,79.13,22,1,13.0945,2,20.0734,5.11864,0,1,3,3.72366,4.3
"Jan 6, 06:00 pm",0,20.7,0,0,0,0,0,20.7,0,0,1,0,0,4.3
"Jan 6, 07:00 pm",0,20,0,0,0,0,0,20,0,0,1,0,0,4.3
"Jan 6, 08:00 pm",0,19.3,0,0,0,0,0,19.3,0,0,1,0,0,3.1
"Jan 6, 09:00 pm",0,18.7,0,0,0,0,0,18.7,0,0,1,0,0,3.1
"Jan 6, 10:00 pm",0,18.6,0,0,0,0,0,18.6,0,0,1,0,0,3.1
"Jan 6, 11:00 pm",0,18.6,0,0,0,0,0,18.6,0,0,1,0,0,3.5
"Jan 7, 12:00 am",0,18.5,0,0,0,0,0,18.5,0,0,1,0,0,3.5
"Jan 7, 01:00 am",0,18.1,0,0,0,0,0,18.1,0,0,1,0,0,3.5
"Jan 7, 02:00 am",0,17.6,0,0,0,0,0,17.6,0,0,1,0,0,3.4
"Jan 7, 03:00 am",0,17.2,0,0,0,0,0,17.2,0,0,1,0,0,3.4
"Jan 7, 04:00 am",0,16.5,0,0,0,0,0,16.5,0,0,1,0,0,3.4
"Jan 7, 05:00 am",0,15.8,0,0,0,0,0,15.8,0,0,1,0,0,4.3
"Jan 7, 06:00 am",0,15.1,0,0,0,0,0,15.1,0,0,1,0,0,4.3
"Jan 7, 07:00 am",0,14,75.7368,0,5,17.1904,5,12.6061,4.72629,0,1,2,4.72629,4.3
"Jan 7, 08:00 am",106.952,12.9,64.2137,0,38,131.656,38,11.5875,36.0344,0.106952,1,1,36.0344,1
"Jan 7, 09:00 am",398.588,11.8,52.2685,0,121,429.358,121,13.4282,118.479,0.398588,1,1,118.479,1
"Jan 7, 10:00 am",1233.75,13.1,42.0528,144,240,1286.19,314,23.4038,372.373,1.23375,1,1,371.436,1
"Jan 7, 11:00 am",725.083,14.4,35.1506,8,211,763.562,216,19.1207,216.214,0.725083,1,1,216.187,2.7
"Jan 7, 12:00 pm",694.85,15.6,33.6804,6,205,732.575,209,19.6802,207.963,0.69485,1,1,207.946,2.7
