,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-4.2,0,0,0,0,0,-4.2,0,0,1,0,0,7.5
"Jan 1, 01:00 am",0,-4.5,0,0,0,0,0,-4.5,0,0,1,0,0,7.5
"Jan 1, 02:00 am",0,-4.7,0,0,0,0,0,-4.7,0,0,1,0,0,8.7
"Jan 1, 03:00 am",0,-4.9,0,0,0,0,0,-4.9,0,0,1,0,0,8.7
"Jan 1, 04:00 am",0,-4.9,0,0,0,0,0,-4.9,0,0,1,0,0,8.7
"Jan 1, 05:00 am",0,-4.8,0,0,0,0,0,-4.8,0,0,1,0,0,9.5
"Jan 1, 06:00 am",0,-4.8,0,0,0,0,0,-4.8,0,0,1,0,0,9.5
"Jan 1, 07:00 am",80.4261,-4.3,76.9501,133,3,104.617,9,-4.81288,34.879,0.0804261,1,2,26.6978,9.5
"Jan 1, 08:00 am",873.797,-3.9,68.2721,513,49,916.111,134,-1.26518,259.862,0.873797,1,1,237.257,8.6
"Jan 1, 09:00 am",1758.82,-3.4,57.3695,768,61,1828.2,294,2.78116,498.959,1.75882,1,1,481.626,8.6
"Jan 1, 10:00 am",2248.91,-1.6,48.423,796,78,2336.45,401,6.70322,635.036,2.24891,1,1,625.969,8.6
"Jan 1, 11:00 am",2493.76,0.3,42.7277,797,90,2591.23,460,9.25433,707.501,2.49376,1,1,701.979,9.3
"Jan 1, 12:00 pm",2501.98,2.1,41.6517,800,86,2599.79,466,11.2297,715.454,2.50198,1,1,710.439,9.3
"Jan 1, 01:00 pm",2228.45,3.2,45.5255,730,93,2315.19,412,11.3243,639.428,2.22845,1,1,632.93,9.3
"Jan 1, 02:00 pm",1620.78,4.4,53.275,495,138,1685.46,313,11.1253,468.655,1.62078,1,1,460.369,7.5
"Jan 1, 03:00 pm",414.156,5.5,63.4804,53,90,445.271,102,6.70909,121.082,0.414156,1,1,119.298,7.5
"Jan 1, 04:00 pm",307.335,4.9,74.4408,184,34,336.124,49,5.44087,100.134,0.307335,1,3,89.5631,7.5
"Jan 1, 05:00 pm",0,4.2,0,0,0,0,0,4.2,0,0,1,0,0,4.9
"Jan 1, 06:00 pm",0,3.6,0,0,0,0,0,3.6,0,0,1,0,0,4.9
"Jan 1, 07:00 pm",0,2.8,0,0,0,0,0,2.8,0,0,1,0,0,4.9
"Jan 1, 08:00 pm",0,2,0,0,0,0,0,2,0,0,1,0,0,4.2
"Jan 1, 09:00 pm",0,1.1,0,0,0,0,0,1.1,0,0,1,0,0,4.2
"Jan 1, 10:00 pm",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,4.2
"Jan 1, 11:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,4.4
"Jan 2, 12:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,4.4
"Jan 2, 01:00 am",0,-0.9,0,0,0,0,0,-0.9,0,0,1,0,0,4.4
"Jan 2, 02:00 am",0,-1.3,0,0,0,0,0,-1.3,0,0,1,0,0,4.2
"Jan 2, 03:00 am",0,-1.6,0,0,0,0,0,-1.6,0,0,1,0,0,4.2
"Jan 2, 04:00 am",0,-1.9,0,0,0,0,0,-1.9,0,0,1,0,0,4.2
"Jan 2, 05:00 am",0,-2.1,0,0,0,0,0,-2.1,0,0,1,0,0,2
"Jan 2, 06:00 am",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,2
"Jan 2, 07:00 am",46.8731,-2.1,76.9954,66,4,70.4235,7,-3.36768,22.1431,0.0468731,1,2,18.0795,2
"Jan 2, 08:00 am",594.259,-1.9,68.3178,256,60,629.532,102,0.786732,175.757,0.594259,1,1,164.45,2.5
"Jan 2, 09:00 am",1546.71,-1.7,57.3914,642,75,1608.94,270,8.69181,449.311,1.54671,1,1,434.799,2.5
"Jan 2, 10:00 am",2078.57,0.2,48.4114,762,76,2159.54,386,15.5127,610.175,2.07857,1,1,601.504,2.5
"Jan 2, 11:00 am",2439.91,2.2,42.6732,811,80,2535.14,458,13.9257,706.708,2.43991,1,1,701.117,6.2
"Jan 2, 12:00 pm",2430.83,4.1,41.5548,790,87,2525.69,464,16.0134,709.987,2.43083,1,1,705.079,6.2
"Jan 2, 01:00 pm",2215.68,5.3,45.4006,761,85,2301.91,419,16.1845,649.805,2.21568,1,1,643.104,6.2
"Jan 2, 02:00 pm",1805.38,6.4,53.1386,734,72,1876.39,332,17.1738,538.733,1.80538,1,1,526.573,4.6
"Jan 2, 03:00 pm",1166.97,7.5,63.3425,626,54,1217.44,198,14.3739,358.271,1.16697,1,1,337.371,4.6
"Jan 2, 04:00 pm",341.771,6.6,74.3888,290,23,371.299,47,8.15429,116.736,0.341771,1,3,100.105,4.6
"Jan 2, 05:00 pm",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,6.5
"Jan 2, 06:00 pm",0,4.7,0,0,0,0,0,4.7,0,0,1,0,0,6.5
"Jan 2, 07:00 pm",0,3.5,0,0,0,0,0,3.5,0,0,1,0,0,6.5
"Jan 2, 08:00 pm",0,2.4,0,0,0,0,0,2.4,0,0,1,0,0,6.2
"Jan 2, 09:00 pm",0,1.2,0,0,0,0,0,1.2,0,0,1,0,0,6.2
"Jan 2, 10:00 pm",0,0.7,0,0,0,0,0,0.7,0,0,1,0,0,6.2
"Jan 2, 11:00 pm",0,0.2,0,0,0,0,0,0.2,0,0,1,0,0,7.8
"Jan 3, 12:00 am",0,-0.3,0,0,0,0,0,-0.3,0,0,1,0,0,7.8
"Jan 3, 01:00 am",0,-0.5,0,0,0,0,0,-0.5,0,0,1,0,0,7.8
