Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
0.5,-0.6,-4.4,-4.83258,73,1.5,350
1.5,-0.6,-4.4,-4.83258,73,2.6,250
2.5,2.2,-5,-5.66203,56,0,0
3.5,1.1,-5,-5.57419,61,2.1,290
4.5,0.6,-5.6,-6.26252,60,1.5,240
5.5,0,-5.6,-6.40199,62,0,0
6.5,-1.1,-3.9,-4.2712,79,2.1,20
7.5,1.7,-6.1,-6.84681,53,3.6,330
8.5,1.1,-2.8,-3.19294,73,2.6,20
9.5,3.9,-2.8,-3.15109,60,2.6,360
10.5,7.8,-3.9,-4.30769,42,0,0
11.5,13.3,-5.6,-6.31206,25,2.1,110
12.5,15.6,-11.1,-12.7209,13,2.1,120
13.5,16.1,-10.6,-12.3266,13,0,0
14.5,16.1,-8.3,-9.72794,16,2.1,360
15.5,16.1,-8.9,-9.72794,16,0,0
16.5,15,-7.2,-8.4365,19,0,0
17.5,12.8,-6.7,-7.81543,23,0,0
18.5,12.8,-6.7,-7.81543,23,0,0
19.5,12.8,-5,-5.73267,27,0,0
20.5,11.7,-2.8,-3.25241,35,2.1,200
21.5,11.7,-3.9,-4.44611,32,1.5,210
22.5,11.1,-3.9,-4.56433,33,2.6,210
23.5,11.1,-2.2,-2.33144,39,3.6,190
24.5,9.4,-1.1,-1.34132,47,0,0
25.5,7.8,-1.7,-1.97109,50,0,0
26.5,6.1,-0.6,-0.630136,62,0,0
27.5,5.6,-1.1,-1.32445,61,0,0
28.5,5,-0.6,-0.613177,67,0,0
29.5,6.1,-0.6,-0.630136,62,0,0
30.5,5.6,-0.6,-0.669234,64,0,0
31.5,5.6,0,-0.0406423,67,0,0
32.5,7.2,2.2,2.09777,70,0,0
33.5,10,0.6,0.597825,52,0,0
34.5,8.9,2.2,2.24074,63,1.5,30
35.5,10.6,2.8,2.68031,58,1.5,20
36.5,10.6,2.8,2.68031,58,2.1,180
37.5,13.3,1.7,1.61635,45,1.5,90
38.5,14.4,1.7,1.64946,42,0,0
39.5,13.9,2.2,2.16173,45,1.5,190
40.5,12.8,2.8,2.91403,51,2.6,190
41.5,11.1,2.2,2.1434,54,2.1,250
42.5,10.6,2.2,2.18741,56,2.1,220
43.5,10,2.2,2.11793,58,0,0
44.5,6.7,2.2,2.20525,73,1.5,170
45.5,6.7,2.8,2.7712,76,1.5,290
46.5,7.2,2.8,2.87867,74,0,0
47.5,7.8,2.8,2.87281,71,1.5,300
48.5,5.6,2.8,2.77178,82,0,0
49.5,6.7,2.8,2.7712,76,1.5,310
50.5,2.8,1.7,1.63094,92,1.5,30
51.5,4.4,2.8,2.74758,89,0,0
52.5,4.4,2.2,2.26566,86,1.5,40
53.5,3.3,1.7,1.66251,89,0,0
54.5,2.8,1.7,1.63094,92,0,0
55.5,2.8,1.7,1.63094,92,0,0
56.5,6.1,4.4,4.42437,89,0,0
57.5,10,5.6,5.58018,74,0,0
58.5,14.4,10,10.0237,75,2.1,200
59.5,18.3,11.7,11.603,65,2.6,200
60.5,21.1,11.7,11.7006,55,3.6,200
61.5,21.1,12.8,12.7689,59,4.1,200
62.5,21.7,13.3,13.3308,59,5.2,200
63.5,21.7,13.3,13.3308,59,5.2,200
64.5,21.1,13.3,13.2793,61,5.7,200
65.5,18.9,13.9,13.9499,73,5.7,200
66.5,17.2,13.9,13.908,81,4.1,200
67.5,16.7,13.9,13.9807,84,5.2,210
68.5,16.1,13.9,13.9336,87,5.7,210
69.5,16.1,13.9,13.9336,87,4.1,230
70.5,15.6,13.9,13.964,90,2.1,220
71.5,15,13.9,13.8762,93,2.6,240
72.5,14.4,13.9,13.9293,97,2.6,210
73.5,15,13.9,13.8762,93,4.1,220
74.5,14.4,13.9,13.9293,97,4.6,220
75.5,15,13.9,13.8762,93,3.1,220
76.5,15,14.4,14.3666,96,3.1,220
77.5,15,14.4,14.3666,96,6.2,210
78.5,15.6,15,14.9636,96,4.6,230
79.5,15.6,14.4,14.4709,93,5.2,210
80.5,16.1,14.4,14.4575,90,3.6,210
81.5,16.1,14.4,14.4575,90,5.2,200
82.5,17.8,14.4,14.3003,80,4.6,220
83.5,18.9,14.4,14.3675,75,4.1,200
84.5,20.6,13.9,13.7837,65,5.7,210
85.5,22.2,12.8,12.722,55,5.7,210
86.5,22.2,11.7,11.5739,51,8.8,230
87.5,21.7,12.2,12.2578,55,8.2,210
88.5,20.6,11.7,11.7766,57,8.8,210
89.5,19.4,11.7,11.6802,61,7.7,220
90.5,18.9,12.2,12.172,65,7.2,210
91.5,18.3,13.3,13.3728,73,7.7,210
92.5,17.2,13.9,13.908,81,7.2,210
93.5,17.2,13.9,13.908,81,5.7,200
94.5,17.2,13.9,13.908,81,3.6,190
