,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-9.9,0,0,0,0,0,-9.9,0,0,1,0,0,5.5
"Jan 1, 01:00 am",0,-9.8,0,0,0,0,0,-9.8,0,0,1,0,0,5.5
"Jan 1, 02:00 am",0,-9.8,0,0,0,0,0,-9.8,0,0,1,0,0,7
"Jan 1, 03:00 am",0,-9.7,0,0,0,0,0,-9.7,0,0,1,0,0,7
"Jan 1, 04:00 am",0,-10.3,0,0,0,0,0,-10.3,0,0,1,0,0,7
"Jan 1, 05:00 am",0,-11,0,0,0,0,0,-11,0,0,1,0,0,9.5
"Jan 1, 06:00 am",0,-11.6,0,0,0,0,0,-11.6,0,0,1,0,0,9.5
"Jan 1, 07:00 am",0,-11,0,0,0,0,0,-11,0,0,1,0,0,9.5
"Jan 1, 08:00 am",7.63491,-10.4,74.0111,0,30.4492,8,8,-11.3389,7.56692,0.00763491,1,2,7.56692,8.5
"Jan 1, 09:00 am",567.834,-9.9,63.3247,121,602.478,87,113,-8.75359,155.328,0.567834,1,1,151.292,8.5
"Jan 1, 10:00 am",380.022,-9.4,53.8358,0,410.383,104,104,-8.87018,103.005,0.380022,1,1,103.005,8.5
"Jan 1, 11:00 am",2073.2,-8.9,47.0164,518,2153.97,165,375,-2.50284,560.211,2.0732,1,1,554.968,9.6
"Jan 1, 12:00 pm",679.094,-8.5,44.1444,19,716.428,166,174,-6.71774,181.554,0.679094,1,1,181.405,9.6
"Jan 1, 01:00 pm",1058.41,-8,45.971,106,1105.76,191,235,-5.16038,282.763,1.05841,1,1,281.782,9.6
"Jan 1, 02:00 pm",748.346,-7.5,52.0008,67,787.412,148,172,-5.19246,201.647,0.748346,1,1,200.63,7.1
"Jan 1, 03:00 pm",1156.13,-7.1,60.9882,402,1206.28,98,197,-2.96916,321.774,1.15613,1,1,310.196,7.1
