,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,5.1
"Jan 1, 01:00 am",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,5.1
"Jan 1, 02:00 am",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,5.1
"Jan 1, 03:00 am",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,8
"Jan 1, 04:00 am",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,8
"Jan 1, 05:00 am",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,8
"Jan 1, 06:00 am",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,11.4
"Jan 1, 07:00 am",0,-2.3,76.7381,0,3.7742,1,1,-3.13997,0.969846,0,1,2,0.969846,11.4
"Jan 1, 08:00 am",53.535,-1.9,68.7288,0,77.2117,21,21,-2.51927,19.8922,0.053535,1,1,19.8922,11.4
"Jan 1, 09:00 am",147.107,-1.5,58.5531,0,172.601,47,47,-1.83689,44.594,0.147107,1,1,44.594,10.7
"Jan 1, 10:00 am",197.04,-1,50.5295,0,223.536,61,61,-1.1595,57.9177,0.19704,1,1,57.9177,10.7
"Jan 1, 11:00 am",228.937,-0.6,45.8509,0,256.085,70,70,-0.646545,66.4937,0.228937,1,1,66.4937,10.7
"Jan 1, 12:00 pm",228.529,-0.2,45.5709,0,255.669,70,70,-0.25853,66.4939,0.228529,1,1,66.4939,6.3
"Jan 1, 01:00 pm",195.981,0.2,49.7642,0,222.456,61,61,-0.00443903,57.9177,0.195981,1,1,57.9177,6.3
"Jan 1, 02:00 pm",497.314,0.1,57.4526,61,530.313,101,118,1.29776,140.215,0.497314,1,1,138.831,6.3
"Jan 1, 03:00 pm",812.993,0,67.4252,320,853.714,89,141,2.95772,238.564,0.812993,1,1,225.074,6.4
"Jan 1, 04:00 pm",14.4453,-0.1,76.0606,32,37.3864,2,4,-0.881256,11.626,0.0144453,1,3,9.69801,6.4
"Jan 1, 05:00 pm",0,-0.9,0,0,0,0,0,-0.9,0,0,1,0,0,6.4
"Jan 1, 06:00 pm",0,-1.7,0,0,0,0,0,-1.7,0,0,1,0,0,5.7
"Jan 1, 07:00 pm",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,5.7
"Jan 1, 08:00 pm",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,5.7
"Jan 1, 09:00 pm",0,-3.1,0,0,0,0,0,-3.1,0,0,1,0,0,6
"Jan 1, 10:00 pm",0,-3.3,0,0,0,0,0,-3.3,0,0,1,0,0,6
"Jan 1, 11:00 pm",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,6
"Jan 2, 12:00 am",0,-3.6,0,0,0,0,0,-3.6,0,0,1,0,0,7.2
"Jan 2, 01:00 am",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,7.2
"Jan 2, 02:00 am",0,-4.6,0,0,0,0,0,-4.6,0,0,1,0,0,7.2
"Jan 2, 03:00 am",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,8.7
"Jan 2, 04:00 am",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,8.7
"Jan 2, 05:00 am",0,-7.1,0,0,0,0,0,-7.1,0,0,1,0,0,8.7
"Jan 2, 06:00 am",0,-8,0,0,0,0,0,-8,0,0,1,0,0,9.8
"Jan 2, 07:00 am",38.1098,-8.8,76.7795,63,61.4946,5,7,-9.49277,19.2573,0.0381098,1,2,15.3961,9.8
"Jan 2, 08:00 am",725.224,-9.5,68.7631,261,763.706,83,121,-7.81829,204.3,0.725224,1,1,192.509,9.8
"Jan 2, 09:00 am",778.709,-10.2,58.5622,149,818.548,114,155,-8.34211,209.546,0.778709,1,1,205.894,9.9
"Jan 2, 10:00 am",1348.1,-10.9,50.5048,268,1404.01,156,254,-7.14482,358.502,1.3481,1,1,354.886,9.9
"Jan 2, 11:00 am",1980.87,-10.3,45.7859,484,2058.2,152,352,-4.24786,530.877,1.98087,1,1,526.47,9.9
"Jan 2, 12:00 pm",1679.04,-9.8,45.4685,350,1745.68,168,313,-5.57155,447.202,1.67904,1,1,444.102,12.8
"Jan 2, 01:00 pm",1668.72,-9.3,49.6377,405,1735.01,146,297,-5.10593,447.328,1.66872,1,1,442.232,12.8
"Jan 2, 02:00 pm",641.27,-10.1,57.3158,73,677.677,121,142,-8.84949,171.751,0.64127,1,1,170.109,12.8
"Jan 2, 03:00 pm",865.616,-10.9,67.287,323,907.714,90,143,-8.79247,241.423,0.865616,1,1,227.906,10.8
"Jan 2, 04:00 pm",77.6919,-11.7,76.0119,139,101.83,0,7,-12.0382,33.5992,0.0776919,1,3,25.235,10.8
"Jan 2, 05:00 pm",0,-13,0,0,0,0,0,-13,0,0,1,0,0,10.8
