,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,6.7
"Jan 1, 01:00 am",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,3.6
"Jan 1, 02:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,5.2
"Jan 1, 03:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,7.7
"Jan 1, 04:00 am",0,4.4,0,0,0,0,0,4.4,0,0,1,0,0,5.7
"Jan 1, 05:00 am",0,4.4,0,0,0,0,0,4.4,0,0,1,0,0,5.7
"Jan 1, 06:00 am",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,5.7
"Jan 1, 07:00 am",0,3.3,77.9669,0,7.38375,2,2,2.11453,1.93969,0,1,2,1.93969,6.7
"Jan 1, 08:00 am",94.3992,3.3,69.8361,0,118.86,33,33,2.56275,31.2837,0.0943993,1,1,31.2837,6.2
"Jan 1, 09:00 am",265.875,3.3,58.3363,0,293.789,80,80,3.39888,77.6006,0.265875,1,1,77.6006,7.2
"Jan 1, 10:00 am",411.842,3.3,48.4994,0,442.906,120,120,4.25103,117.415,0.411842,1,1,117.415,5.2
"Jan 1, 11:00 am",503.106,3.3,41.5865,0,536.238,145,145,4.57062,142.352,0.503106,1,1,142.352,6.7
"Jan 1, 12:00 pm",533.516,2.8,39.1932,0,567.354,153,153,4.16147,150.348,0.533516,1,1,150.348,7.2
"Jan 1, 01:00 pm",500.924,2.8,42.1013,0,534.006,144,144,3.97302,141.397,0.500924,1,1,141.397,7.7
"Jan 1, 02:00 pm",402.208,2.8,49.3793,0,433.058,117,117,3.5235,114.448,0.402208,1,1,114.448,8.2
"Jan 1, 03:00 pm",252.53,2.2,59.4316,0,280.166,76,76,2.32629,73.665,0.25253,1,1,73.665,6.7
"Jan 1, 04:00 pm",80.5104,2.8,71.0473,0,104.703,29,29,1.94686,27.4856,0.0805104,1,1,27.4856,4.6
"Jan 1, 05:00 pm",0,2.2,78.5506,0,3.70894,1,1,1.02521,0.969846,0,1,3,0.969846,6.7
"Jan 1, 06:00 pm",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,6.2
"Jan 1, 07:00 pm",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,7.2
"Jan 1, 08:00 pm",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,7.7
"Jan 1, 09:00 pm",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,6.7
"Jan 1, 10:00 pm",0,1.1,0,0,0,0,0,1.1,0,0,1,0,0,7.2
"Jan 1, 11:00 pm",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,5.7
"Jan 2, 12:00 am",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,5.7
"Jan 2, 01:00 am",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,5.7
"Jan 2, 02:00 am",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,6.7
"Jan 2, 03:00 am",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,6.2
"Jan 2, 04:00 am",0,1.1,0,0,0,0,0,1.1,0,0,1,0,0,6.7
"Jan 2, 05:00 am",0,1.1,0,0,0,0,0,1.1,0,0,1,0,0,9.3
"Jan 2, 06:00 am",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,6.7
"Jan 2, 07:00 am",0,0,78.0151,0,7.48952,2,2,-1.26097,1.93969,0,1,2,1.93969,6.2
"Jan 2, 08:00 am",81.8855,-0.6,69.8912,0,106.104,29,29,-1.27181,27.4785,0.0818855,1,1,27.4785,8.2
"Jan 2, 09:00 am",278.637,-0.6,58.3698,0,306.819,82,82,-0.483458,79.7217,0.278637,1,1,79.7217,6.7
"Jan 2, 10:00 am",349.152,-0.6,48.5016,0,378.84,102,102,-0.193025,98.5551,0.349152,1,1,98.5551,8.8
"Jan 2, 11:00 am",519.702,-0.6,41.5461,0,553.218,147,147,0.66686,144.442,0.519702,1,1,144.442,6.7
"Jan 2, 12:00 pm",452.224,-0.6,39.1063,0,484.193,130,130,0.369356,126.261,0.452224,1,1,126.261,7.2
"Jan 2, 01:00 pm",422.6,-0.6,41.9808,0,453.904,122,122,0.314337,118.335,0.4226,1,1,118.335,6.2
"Jan 2, 02:00 pm",340.634,0,49.2443,0,370.138,100,100,0.561603,96.5976,0.340634,1,1,96.5976,5.7
"Jan 2, 03:00 pm",212.373,-0.6,59.294,0,239.181,65,65,-0.704828,62.0893,0.212373,1,1,62.0893,5.2
"Jan 2, 04:00 pm",85.575,-0.6,70.9133,0,109.865,30,30,-1.41002,28.436,0.085575,1,1,28.436,5.2
"Jan 2, 05:00 pm",0,-0.6,78.5068,0,3.758,1,1,-2.10596,0.969846,0,1,3,0.969846,4.6
"Jan 2, 06:00 pm",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,5.2
"Jan 2, 07:00 pm",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,4.6
"Jan 2, 08:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,4.6
"Jan 2, 09:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,3.6
"Jan 2, 10:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,5.2
"Jan 2, 11:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,5.2
"Jan 3, 12:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,6.2
"Jan 3, 01:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,6.7
"Jan 3, 02:00 am",0,-1.7,0,0,0,0,0,-1.7,0,0,1,0,0,4.1
"Jan 3, 03:00 am",0,-1.7,0,0,0,0,0,-1.7,0,0,1,0,0,4.6
"Jan 3, 04:00 am",0,-1.7,0,0,0,0,0,-1.7,0,0,1,0,0,3.6
"Jan 3, 05:00 am",0,-1.7,0,0,0,0,0,-1.7,0,0,1,0,0,2.6
"Jan 3, 06:00 am",0,-2.2,0,0,0,0,0,-2.2,0,0,1,0,0,3.1
"Jan 3, 07:00 am",0,-2.2,78.063,0,7.58828,2,2,-4.41305,1.93969,0,1,2,1.93969,2.1
"Jan 3, 08:00 am",100.903,-1.7,69.9419,0,125.49,34,34,-3.22231,32.2358,0.100903,1,1,32.2358,1.5
"Jan 3, 09:00 am",276.601,-2.2,58.3979,0,304.74,81,81,-2.09715,78.6487,0.276601,1,1,78.6487,2.1
"Jan 3, 10:00 am",428.031,-1.7,48.4976,0,459.457,122,122,-0.254595,119.497,0.428032,1,1,119.497,2.1
"Jan 3, 11:00 am",519.596,-1.1,41.4986,0,553.11,147,147,0.662275,144.411,0.519596,1,1,144.411,4.1
"Jan 3, 12:00 pm",548.902,-1.1,39.0121,0,583.1,155,155,0.892966,152.389,0.548902,1,1,152.389,4.1
"Jan 3, 01:00 pm",515.445,-0.6,41.8539,0,548.862,146,146,0.862787,143.423,0.515445,1,1,143.423,5.7
"Jan 3, 02:00 pm",414.481,0,49.1042,0,445.604,119,119,0.905725,116.462,0.414481,1,1,116.462,6.2
"Jan 3, 03:00 pm",1030.55,0.6,59.1528,377,1077.12,80,190,5.39234,296.567,1.03055,1,1,286.949,4.6
"Jan 3, 04:00 pm",595.11,0,70.7768,364,630.404,46,96,3.03219,184.354,0.59511,1,1,166.253,4.1
"Jan 3, 05:00 pm",5.3333,-0.6,78.4635,46,28.1048,1,3,-1.56702,10.1695,0.0053333,1,3,7.26949,5.2
"Jan 3, 06:00 pm",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,5.7
"Jan 3, 07:00 pm",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,6.7
"Jan 3, 08:00 pm",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,6.2
"Jan 3, 09:00 pm",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,5.2
"Jan 3, 10:00 pm",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,6.7
"Jan 3, 11:00 pm",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,5.2
"Jan 4, 12:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,5.7
"Jan 4, 01:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,4.1
"Jan 4, 02:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,3.6
"Jan 4, 03:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,2.6
