Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
0.5,6.1,5,5.0538,93,6.7,20
1.5,6.1,4.4,4.42437,89,3.6,30
2.5,5.6,4.4,4.40363,92,5.2,20
3.5,5,3.3,3.33941,89,7.7,20
4.5,4.4,3.3,3.36831,93,5.7,20
5.5,4.4,2.2,2.26566,86,5.7,10
6.5,3.9,1.7,1.77442,86,5.7,10
7.5,3.3,1.1,1.02245,85,6.7,10
8.5,3.3,0.6,0.524697,82,6.2,10
9.5,3.3,0.6,0.524697,82,7.2,360
10.5,3.3,0,0.0105778,79,5.2,10
11.5,3.3,0,0.0105778,79,6.7,10
12.5,2.8,-0.6,-0.650377,78,7.2,10
13.5,2.8,-0.6,-0.650377,78,7.7,10
14.5,2.8,-1.1,-1.18601,75,8.2,10
15.5,2.2,-1.1,-1.23331,78,6.7,10
16.5,2.8,-1.7,-1.93047,71,4.6,10
17.5,2.2,-2.2,-2.50713,71,6.7,10
18.5,1.7,-2.2,-2.43105,74,6.2,10
19.5,1.7,-2.2,-2.43105,74,7.2,360
20.5,1.7,-2.2,-2.43105,74,7.7,360
21.5,1.7,-2.2,-2.43105,74,6.7,360
22.5,1.1,-1.1,-1.29756,84,7.2,360
23.5,0.6,-0.6,-0.697452,91,5.7,360
24.5,0.6,0,0.0366637,96,5.7,350
25.5,0.6,0,0.0366637,96,5.7,360
26.5,0.6,0,0.0366637,96,6.7,350
27.5,0.6,0,0.0366637,96,6.2,350
28.5,1.1,0,-0.0526327,92,6.7,340
29.5,1.1,-0.6,-0.66258,88,9.3,350
30.5,0.6,-0.6,-0.697452,91,6.7,340
31.5,0,-0.6,-0.703857,95,6.2,330
32.5,-0.6,-1.1,-1.15768,96,8.2,340
33.5,-0.6,-1.7,-1.88445,91,6.7,330
34.5,-0.6,-2.2,-2.33767,88,8.8,330
35.5,-0.6,-2.2,-2.33767,88,6.7,330
36.5,-0.6,-1.7,-1.88445,91,7.2,320
37.5,-0.6,-1.7,-1.88445,91,6.2,320
38.5,0,-1.1,-1.29094,91,5.7,320
39.5,-0.6,-1.1,-1.15768,96,5.2,320
40.5,-0.6,-1.1,-1.15768,96,5.2,320
41.5,-0.6,-1.1,-1.15768,96,4.6,320
42.5,-0.6,-1.1,-1.15768,96,5.2,320
43.5,-0.6,-1.1,-1.15768,96,4.6,320
44.5,0,-1.1,-1.29094,91,4.6,330
45.5,0,-1.1,-1.29094,91,3.6,320
46.5,0,-1.1,-1.29094,91,5.2,330
47.5,0,-1.1,-1.29094,91,5.2,350
48.5,-0.6,-4.4,-4.83258,73,6.2,360
49.5,-1.1,-4.4,-4.78392,76,6.7,340
50.5,-1.7,-4.4,-4.689,80,4.1,350
51.5,-1.7,-5,-5.3654,76,4.6,350
52.5,-1.7,-5.6,-6.07414,72,3.6,330
53.5,-1.7,-5,-5.3654,76,2.6,350
54.5,-2.2,-4.4,-4.69057,83,3.1,360
55.5,-2.2,-5,-5.34197,79,2.1,330
56.5,-1.7,-5,-5.3654,76,1.5,20
57.5,-2.2,-5,-5.34197,79,2.1,150
58.5,-1.7,-4.4,-4.689,80,2.1,160
59.5,-1.1,-3.9,-4.2712,79,4.1,160
60.5,-1.1,-5,-5.49621,72,4.1,220
61.5,-0.6,-5,-5.57458,69,5.7,210
62.5,0,-4.4,-4.99952,69,6.2,190
63.5,0.6,-3.9,-4.42452,69,4.6,180
64.5,0,-3.9,-4.4368,72,4.1,160
65.5,-0.6,-3.9,-4.29938,76,5.2,160
66.5,-1.1,-3.9,-4.2712,79,5.7,160
67.5,-1.1,-3.9,-4.2712,79,6.7,160
68.5,-0.6,-3.3,-3.61675,80,6.2,160
69.5,-0.6,-2.8,-3.12435,83,5.2,170
70.5,-0.6,-2.8,-3.12435,83,6.7,160
71.5,-1.1,-2.2,-2.37906,91,5.2,160
72.5,-1.1,-3.9,-4.2712,79,5.7,170
73.5,-0.6,-3.9,-4.29938,76,4.1,170
74.5,-0.6,-3.9,-4.29938,76,3.6,170
75.5,-1.1,-3.9,-4.2712,79,2.6,150
76.5,-2.2,-3.9,-4.06643,87,2.1,150
77.5,-1.7,-3.9,-4.20111,83,3.1,170
78.5,0,-3.9,-4.4368,72,3.6,180
79.5,-0.6,-3.9,-4.29938,76,2.6,180
80.5,0.6,-2.8,-3.13663,76,2.1,200
81.5,2.8,-2.8,-3.11995,65,3.1,220
82.5,4.4,-2.8,-3.13512,58,3.1,260
83.5,5.6,-1.7,-2.00883,58,4.1,300
84.5,6.7,0.6,0.588935,65,3.6,340
85.5,7.2,1.7,1.69243,68,5.2,360
86.5,6.7,1.1,1.00883,67,4.6,360
87.5,6.1,0.6,0.641245,68,6.7,20
88.5,3.9,-0.6,-0.682179,72,4.6,10
89.5,2.8,-1.7,-1.93047,71,5.7,20
90.5,2.2,-2.2,-2.50713,71,5.2,30
91.5,2.2,-2.2,-2.50713,71,5.2,30
92.5,1.7,-2.2,-2.43105,74,5.7,20
93.5,1.1,-2.2,-2.47615,77,5.2,20
94.5,0.6,-2.8,-3.13663,76,6.2,10
95.5,0.6,-2.8,-3.13663,76,5.7,20
96.5,0,-3.3,-3.71798,76,4.6,10
97.5,-0.6,-3.9,-4.29938,76,6.2,30
98.5,-1.1,-3.9,-4.2712,79,6.2,20
99.5,-1.7,-4.4,-4.689,80,6.2,20
100.5,-1.7,-5,-5.3654,76,5.2,10
101.5,-2.2,-5,-5.34197,79,5.2,10
102.5,-2.8,-4.4,-4.65697,87,5.7,10
103.5,-2.8,-3.9,-4.06079,91,5.2,360
104.5,-2.2,-3.9,-4.06643,87,4.1,10
105.5,-2.2,-4.4,-4.69057,83,5.2,10
106.5,-1.7,-4.4,-4.689,80,5.7,20
107.5,-1.7,-4.4,-4.689,80,5.7,360
108.5,-1.7,-4.4,-4.689,80,5.7,10
109.5,-1.1,-5,-5.49621,72,6.2,10
110.5,-1.1,-5,-5.49621,72,6.2,20
111.5,-1.1,-5,-5.49621,72,5.2,10
112.5,-1.7,-5.6,-6.07414,72,7.2,20
113.5,-2.2,-5.6,-6.02331,75,6.7,10
114.5,-2.2,-5.6,-6.02331,75,5.2,20
115.5,-2.8,-6.1,-6.43158,76,6.2,20
116.5,-2.8,-6.1,-6.43158,76,5.7,20
117.5,-3.3,-6.7,-7.08796,75,6.2,20
118.5,-3.9,-7.2,-7.66875,75,7.7,10
119.5,-3.9,-6.7,-6.99707,79,7.2,10
120.5,-4.4,-6.7,-7.00175,82,8.2,360
121.5,-4.4,-7.8,-8.15278,75,5.2,10
122.5,-5,-7.8,-8.06819,79,6.2,10
123.5,-5,-7.2,-7.43201,83,6.2,360
124.5,-5,-7.8,-8.06819,79,5.7,10
125.5,-5.6,-7.8,-8.01955,83,8.2,360
126.5,-6.1,-8.3,-8.50919,83,8.8,360
127.5,-6.7,-10,-10.3797,75,8.8,350
128.5,-6.7,-10,-10.3797,75,7.2,20
129.5,-6.7,-9.4,-9.72382,79,6.7,360
130.5,-6.1,-10,-10.49,71,8.2,360
131.5,-4.4,-9.4,-9.97491,65,6.7,20
132.5,-3.9,-9.4,-10.0964,62,8.2,10
133.5,-4.4,-9.4,-9.97491,65,7.7,360
134.5,-3.3,-10,-10.8113,56,6.2,20
135.5,-3.9,-10,-10.7205,59,7.2,360
136.5,-4.4,-13.3,-14.2602,46,6.2,10
137.5,-6.7,-15,-15.8618,48,6.2,10
138.5,-7.2,-15.6,-16.574,47,5.2,360
139.5,-8.3,-16.1,-17.0936,49,5.7,10
140.5,-8.9,-16.7,-17.6486,49,5.2,360
141.5,-9.4,-16.1,-16.9639,54,5.2,360
142.5,-10.6,-17.2,-17.8701,55,5.2,360
143.5,-11.1,-17.8,-18.5535,54,4.1,350
144.5,-11.7,-17.8,-18.4836,57,4.6,350
145.5,-12.2,-17.2,-17.7813,63,4.6,340
146.5,-12.8,-17.8,-18.352,63,3.6,350
147.5,-13.3,-17.2,-17.5913,70,3.6,360
148.5,-13.3,-17.2,-17.5913,70,3.6,340
149.5,-13.3,-18.9,-19.5905,59,4.1,350
150.5,-13.9,-20,-20.7573,56,4.1,350
151.5,-13.9,-20,-20.7573,56,3.6,350
152.5,-12.8,-21.1,-21.9769,46,4.1,360
153.5,-11.1,-20,-20.9233,44,4.6,360
154.5,-8.3,-17.8,-18.906,42,5.2,350
155.5,-7.2,-17.8,-19.0771,38,4.6,350
156.5,-5.6,-18.3,-19.6469,32,5.7,20
157.5,-5,-16.7,-18.0695,35,6.7,360
158.5,-4.4,-16.1,-17.5351,35,4.6,360
159.5,-4.4,-16.1,-17.5351,35,4.1,360
160.5,-5,-15.6,-16.7906,39,4.1,360
161.5,-6.7,-14.4,-15.3713,50,2.1,10
162.5,-6.7,-15.6,-16.6327,45,1.5,50
163.5,-7.2,-16.7,-17.9056,42,1.5,70
164.5,-8.9,-16.1,-16.9454,52,0,0
165.5,-8.9,-15.6,-16.2776,55,0,0
166.5,-9.4,-15,-15.7063,60,1.5,170
167.5,-9.4,-15.6,-16.3203,57,2.1,200
168.5,-9.4,-16.7,-17.6402,51,3.1,190
169.5,-9.4,-15.6,-16.3203,57,3.6,190
170.5,-10.6,-16.1,-16.6445,61,2.6,200
171.5,-10,-15,-15.5001,64,3.1,170
172.5,-10,-15,-15.5001,64,3.6,190
173.5,-9.4,-15,-15.7063,60,3.1,170
174.5,-10,-15,-15.5001,64,4.1,180
