,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,2.7
"Jan 1, 01:00 am",0,3.7,0,0,0,0,0,3.7,0,0,1,0,0,2.7
"Jan 1, 02:00 am",0,3.2,0,0,0,0,0,3.2,0,0,1,0,0,2.7
"Jan 1, 03:00 am",0,2.8,0,0,0,0,0,2.8,0,0,1,0,0,3.3
"Jan 1, 04:00 am",0,2.3,0,0,0,0,0,2.3,0,0,1,0,0,3.3
"Jan 1, 05:00 am",0,2.4,0,0,0,0,0,2.4,0,0,1,0,0,3.3
"Jan 1, 06:00 am",0,2.6,0,0,0,0,0,2.6,0,0,1,0,0,2.5
"Jan 1, 07:00 am",0,2.7,78.1535,0,0,0,0,2.7,0,0,1,2,0,2.5
"Jan 1, 08:00 am",23.8656,3.2,72.5589,0,46.9827,13,13,1.45886,12.308,0.0238656,1,1,12.308,2.5
"Jan 1, 09:00 am",101.475,3.7,62.5931,0,126.073,35,35,2.59744,33.187,0.101475,1,1,33.187,2.7
"Jan 1, 10:00 am",143.352,4.2,54.5943,0,168.771,47,47,3.46497,44.5913,0.143352,1,1,44.5913,2.7
"Jan 1, 11:00 am",178.079,4.6,49.6241,0,204.191,57,57,4.15219,54.1084,0.178079,1,1,54.1084,2.7
"Jan 1, 12:00 pm",181.114,5.1,48.6381,0,207.288,58,58,4.71151,55.0607,0.181114,1,1,55.0607,2.7
"Jan 1, 01:00 pm",377.425,5.5,51.8663,0,407.729,109,109,6.5206,109.15,0.377425,1,1,109.15,2.7
"Jan 1, 02:00 pm",462.815,5.5,58.6094,37,495.025,104,113,7.32368,133.891,0.462815,1,1,132.981,2.7
"Jan 1, 03:00 pm",37.2921,5.4,67.7981,0,60.6614,17,17,4.45142,16.0952,0.0372921,1,1,16.0952,4.7
"Jan 1, 04:00 pm",0,5.4,75.7669,0,3.56699,1,1,3.92705,0.944302,0,1,3,0.944302,4.7
"Jan 1, 05:00 pm",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,4.7
"Jan 1, 06:00 pm",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,2.5
"Jan 1, 07:00 pm",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,2.5
