,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-3.9,0,0,0,0,0,-3.9,0,0,1,0,0,1
"Jan 1, 01:00 am",0,-3.4,0,0,0,0,0,-3.4,0,0,1,0,0,1.5
"Jan 1, 02:00 am",0,-3.4,0,0,0,0,0,-3.4,0,0,1,0,0,1.5
"Jan 1, 03:00 am",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,2
"Jan 1, 04:00 am",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,1
"Jan 1, 05:00 am",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,1.5
"Jan 1, 06:00 am",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,2.5
"Jan 1, 07:00 am",0,1.1,77.4424,1,22.4502,6,6,-0.836855,5.88676,0,1,2,5.82466,2.5
"Jan 1, 08:00 am",301.828,2.7,68.3423,27,330.501,72,77,2.99927,88.3428,0.301828,1,1,87.1488,3.6
"Jan 1, 09:00 am",786.951,4.4,56.599,92,827.001,160,190,8.12331,224.902,0.786951,1,1,222.936,3.6
"Jan 1, 10:00 am",608.731,6.1,46.486,58,644.351,132,158,9.20593,175.082,0.608731,1,1,174.521,3
"Jan 1, 11:00 am",941,7.2,39.3377,53,985.114,217,245,12.1958,270.619,0.941,1,1,270.353,3.6
"Jan 1, 12:00 pm",1066.82,8.3,36.935,12,1114.41,291,298,15.8143,310.871,1.06682,1,1,310.823,2
"Jan 1, 01:00 pm",1222.17,8.8,40.1428,84,1274.27,270,313,17.1064,357.946,1.22217,1,1,357.49,2.5
"Jan 1, 02:00 pm",468.473,6.6,47.8419,53,500.812,100,123,8.90986,136.044,0.468473,1,1,135.468,3.6
"Jan 1, 03:00 pm",725.599,5.5,58.2667,35,764.091,170,181,9.40584,207.974,0.725599,1,1,207.134,2.5
"Jan 1, 04:00 pm",173.949,5.5,70.1743,28,199.979,44,48,5.55791,54.6674,0.173949,1,1,53.3129,3
"Jan 1, 05:00 pm",0,5.5,78.3413,4,9.42143,2,2,4.11742,2.74802,0,1,3,2.4962,4.6
"Jan 1, 06:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,1
