,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,0.4,0,0,0,0,0,0.4,0,0,1,0,0,1.2
"Jan 1, 01:00 am",0,-0.4,0,0,0,0,0,-0.4,0,0,1,0,0,1.2
"Jan 1, 02:00 am",0,-0.9,0,0,0,0,0,-0.9,0,0,1,0,0,1.2
"Jan 1, 03:00 am",0,-1.5,0,0,0,0,0,-1.5,0,0,1,0,0,1.7
"Jan 1, 04:00 am",0,-2,0,0,0,0,0,-2,0,0,1,0,0,1.7
"Jan 1, 05:00 am",0,-2.2,0,0,0,0,0,-2.2,0,0,1,0,0,1.7
"Jan 1, 06:00 am",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,2.3
"Jan 1, 07:00 am",87.7311,-2.6,77.4332,154,112.063,3,10,-3.73224,38.2884,0.0877311,1,2,28.7259,2.3
"Jan 1, 08:00 am",927.29,-1.8,68.3422,607,971.033,43,151,3.96242,283.947,0.92729,1,1,257.104,2.3
"Jan 1, 09:00 am",1766.76,-1,56.6041,796,1836.42,58,322,11.0488,518.454,1.76676,1,1,501.434,2.8
"Jan 1, 10:00 am",2336.65,-0.1,46.4977,876,2427.69,65,459,16.7773,688.544,2.33665,1,1,680.062,2.8
"Jan 1, 11:00 am",2665.33,0.9,39.3573,911,2770.11,69,545,20.7836,794.894,2.66533,1,1,790.31,2.8
"Jan 1, 12:00 pm",2795.75,1.9,36.9609,920,2906.27,71,572,19.5456,828.094,2.79575,1,1,824.454,4.3
"Jan 1, 01:00 pm",2639.66,3,40.1706,906,2743.33,70,536,19.7751,783.983,2.63966,1,1,779.05,4.3
"Jan 1, 02:00 pm",2245.13,3.2,47.8678,865,2332.53,64,441,17.3652,664.555,2.24513,1,1,655.148,4.3
"Jan 1, 03:00 pm",1588.47,3.5,58.2895,765,1652.07,54,293,14.9406,477.38,1.58847,1,1,458.977,3.2
"Jan 1, 04:00 pm",758.851,3.8,70.1937,559,798.183,38,123,9.15231,243.2,0.758851,1,1,216.136,3.2
"Jan 1, 05:00 pm",35.9341,2.8,78.3426,98,59.2778,2,5,2.11175,21.7415,0.0359341,1,3,15.5719,3.2
"Jan 1, 06:00 pm",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,2.7
"Jan 1, 07:00 pm",0,0.7,0,0,0,0,0,0.7,0,0,1,0,0,2.7
"Jan 1, 08:00 pm",0,0.2,0,0,0,0,0,0.2,0,0,1,0,0,2.7
"Jan 1, 09:00 pm",0,-0.3,0,0,0,0,0,-0.3,0,0,1,0,0,3.3
"Jan 1, 10:00 pm",0,-0.8,0,0,0,0,0,-0.8,0,0,1,0,0,3.3
"Jan 1, 11:00 pm",0,-0.9,0,0,0,0,0,-0.9,0,0,1,0,0,3.3
"Jan 2, 12:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,4.9
"Jan 2, 01:00 am",0,-1.2,0,0,0,0,0,-1.2,0,0,1,0,0,4.9
"Jan 2, 02:00 am",0,-1.2,0,0,0,0,0,-1.2,0,0,1,0,0,4.9
"Jan 2, 03:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,2.6
"Jan 2, 04:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,2.6
"Jan 2, 05:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,2.6
"Jan 2, 06:00 am",0,-0.1,0,0,0,0,0,-0.1,0,0,1,0,0,0.7
"Jan 2, 07:00 am",27.0203,0.5,77.4831,38,50.1965,4,6,-1.93381,15.3255,0.0270203,1,2,12.9638,0.7
"Jan 2, 08:00 am",473.466,1.3,68.401,152,505.918,69,96,3.59172,140.484,0.473466,1,1,133.742,0.7
"Jan 2, 09:00 am",603.156,2.1,56.6412,52,638.642,134,151,4.92897,170.912,0.603156,1,1,169.798,2.8
