,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,6.4,0,0,0,0,0,6.4,0,0,1,0,0,3.5
"Jan 1, 01:00 am",0,5.9,0,0,0,0,0,5.9,0,0,1,0,0,3.5
"Jan 1, 02:00 am",0,5.4,0,0,0,0,0,5.4,0,0,1,0,0,4.2
"Jan 1, 03:00 am",0,4.9,0,0,0,0,0,4.9,0,0,1,0,0,4.2
"Jan 1, 04:00 am",0,4.5,0,0,0,0,0,4.5,0,0,1,0,0,4.2
"Jan 1, 05:00 am",0,4.1,0,0,0,0,0,4.1,0,0,1,0,0,3.9
"Jan 1, 06:00 am",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,3.9
"Jan 1, 07:00 am",72.1085,4,77.8007,149,96.1396,2,9,3.06724,34.6679,0.0721085,1,2,25.3581,3.9
"Jan 1, 08:00 am",905.745,4.3,68.599,615,948.91,44,156,9.48515,284.878,0.905745,1,1,257.325,3.2
"Jan 1, 09:00 am",1778.49,4.5,56.3861,823,1848.56,57,342,16.2902,534.02,1.77849,1,1,516.694,3.2
"Jan 1, 10:00 am",2349.67,7.6,45.5733,903,2441.23,64,492,24.1826,715.639,2.34967,1,1,707.567,3.2
"Jan 1, 11:00 am",2747.37,10.6,37.4599,938,2855.73,70,591,25.1711,835.46,2.74737,1,1,831.555,5.9
"Jan 1, 12:00 pm",2841.22,13.7,34.0561,949,2953.77,72,628,29.2275,879.593,2.84122,1,1,876.833,5.9
"Jan 1, 01:00 pm",2662.01,15.2,36.7028,876,2766.64,94,587,29.8692,827.192,2.66201,1,1,823.818,5.9
"Jan 1, 02:00 pm",2371.01,16.8,44.3258,908,2463.43,65,508,28.0164,734.321,2.37101,1,1,727.05,7.4
"Jan 1, 03:00 pm",1741.92,18.3,54.8779,821,1810.72,56,357,26.5192,546.117,1.74192,1,1,530.624,7.4
"Jan 1, 04:00 pm",972.995,18.2,66.9597,665,1017.98,43,180,22.7206,320.389,0.972995,1,1,293.046,7.4
"Jan 1, 05:00 pm",112.824,18.1,76.9783,237,137.643,0,9,18.2366,53.401,0.112824,1,3,38.814,7.4
"Jan 1, 06:00 pm",0,18.1,0,0,0,0,0,18.1,0,0,1,0,0,7.4
"Jan 1, 07:00 pm",0,17,0,0,0,0,0,17,0,0,1,0,0,7.4
"Jan 1, 08:00 pm",0,16,0,0,0,0,0,16,0,0,1,0,0,8.1
"Jan 1, 09:00 pm",0,15,0,0,0,0,0,15,0,0,1,0,0,8.1
"Jan 1, 10:00 pm",0,14.6,0,0,0,0,0,14.6,0,0,1,0,0,8.1
"Jan 1, 11:00 pm",0,14.2,0,0,0,0,0,14.2,0,0,1,0,0,6.3
"Jan 2, 12:00 am",0,13.9,0,0,0,0,0,13.9,0,0,1,0,0,6.3
"Jan 2, 01:00 am",0,13.5,0,0,0,0,0,13.5,0,0,1,0,0,6.3
"Jan 2, 02:00 am",0,13.2,0,0,0,0,0,13.2,0,0,1,0,0,4.1
"Jan 2, 03:00 am",0,12.9,0,0,0,0,0,12.9,0,0,1,0,0,4.1
"Jan 2, 04:00 am",0,12.7,0,0,0,0,0,12.7,0,0,1,0,0,4.1
"Jan 2, 05:00 am",0,12.5,0,0,0,0,0,12.5,0,0,1,0,0,5.5
