,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,2,0,0,0,0,0,2,0,0,1,0,0,2.4
"Jan 1, 01:00 am",0,1.9,0,0,0,0,0,1.9,0,0,1,0,0,2.4
"Jan 1, 02:00 am",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,2.4
"Jan 1, 03:00 am",0,1.5,0,0,0,0,0,1.5,0,0,1,0,0,3.6
"Jan 1, 04:00 am",0,1.4,0,0,0,0,0,1.4,0,0,1,0,0,3.6
"Jan 1, 05:00 am",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,3.6
"Jan 1, 06:00 am",0,2.1,0,0,0,0,0,2.1,0,0,1,0,0,3.6
"Jan 1, 07:00 am",0,2.4,78.0522,0,0,0,0,2.4,0,0,1,2,0,3.6
"Jan 1, 08:00 am",9.703,2.7,72.9853,0,32.5557,9,9,1.08958,8.51526,0.009703,1,1,8.51526,3.6
"Jan 1, 09:00 am",77.0318,3,63.398,0,101.157,28,28,1.77169,26.5352,0.0770318,1,1,26.5352,3.1
"Jan 1, 10:00 am",242.185,3.3,55.8247,0,269.606,73,73,3.23835,71.1643,0.242185,1,1,71.1643,3.1
"Jan 1, 11:00 am",165.034,3.3,51.2817,0,190.885,53,53,2.84355,50.3007,0.165034,1,1,50.3007,3.1
"Jan 1, 12:00 pm",168.616,3.2,50.6111,0,194.539,54,54,2.79323,51.2524,0.168616,1,1,51.2524,4.5
"Jan 1, 01:00 pm",391.562,3.2,53.9593,3,422.177,108,109,4.06926,111.885,0.391562,1,1,111.832,4.5
"Jan 1, 02:00 pm",108.568,3.2,60.6549,0,133.304,37,37,2.57192,35.0867,0.108568,1,1,35.0867,4.5
"Jan 1, 03:00 pm",37.8465,3.3,69.6992,0,61.2263,17,17,2.34136,16.0995,0.0378465,1,1,16.0995,6.2
"Jan 1, 04:00 pm",0,3.3,76.4441,0,3.69281,1,1,2.05479,0.969846,0,1,3,0.969846,6.2
"Jan 1, 05:00 pm",0,3.6,0,0,0,0,0,3.6,0,0,1,0,0,6.2
"Jan 1, 06:00 pm",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,8
"Jan 1, 07:00 pm",0,4.1,0,0,0,0,0,4.1,0,0,1,0,0,8
"Jan 1, 08:00 pm",0,4.5,0,0,0,0,0,4.5,0,0,1,0,0,8
"Jan 1, 09:00 pm",0,4.8,0,0,0,0,0,4.8,0,0,1,0,0,8.1
"Jan 1, 10:00 pm",0,5.2,0,0,0,0,0,5.2,0,0,1,0,0,8.1
"Jan 1, 11:00 pm",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,8.1
"Jan 2, 12:00 am",0,5.8,0,0,0,0,0,5.8,0,0,1,0,0,5.8
"Jan 2, 01:00 am",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,5.8
"Jan 2, 02:00 am",0,6.4,0,0,0,0,0,6.4,0,0,1,0,0,5.8
"Jan 2, 03:00 am",0,6.6,0,0,0,0,0,6.6,0,0,1,0,0,8.1
"Jan 2, 04:00 am",0,6.9,0,0,0,0,0,6.9,0,0,1,0,0,8.1
"Jan 2, 05:00 am",0,7,0,0,0,0,0,7,0,0,1,0,0,8.1
"Jan 2, 06:00 am",0,7.1,0,0,0,0,0,7.1,0,0,1,0,0,8.6
"Jan 2, 07:00 am",0,7.2,78.0915,1,0.53717,0,0,6.19437,0.20635,0,1,2,0.143599,8.6
"Jan 2, 08:00 am",143.659,7.3,73.0096,43,169.085,28,31,6.96485,47.699,0.143659,1,1,45.3515,8.6
"Jan 2, 09:00 am",433.321,7.5,63.398,86,464.865,75,91,8.33133,128.309,0.433321,1,1,125.428,8.8
"Jan 2, 10:00 am",130.167,7.7,55.7937,0,155.326,44,44,7.39153,41.7385,0.130167,1,1,41.7385,8.8
"Jan 2, 11:00 am",161.531,7.5,51.2149,0,187.312,53,53,7.24094,50.3006,0.161531,1,1,50.3006,8.8
"Jan 2, 12:00 pm",168.619,7.3,50.5107,0,194.542,55,55,7.07484,52.2044,0.168619,1,1,52.2044,8.9
"Jan 2, 01:00 pm",172.267,7.1,53.8353,0,198.263,56,56,6.8884,53.1601,0.172267,1,1,53.1601,8.9
"Jan 2, 02:00 pm",96.0312,6.8,60.519,0,120.523,34,34,6.29857,32.2335,0.0960312,1,1,32.2335,8.9
"Jan 2, 03:00 pm",26.5151,6.4,69.5608,0,49.6818,14,14,5.683,13.252,0.0265151,1,1,13.252,10.1
"Jan 2, 04:00 pm",0,6.1,76.4,0,3.64333,1,1,5.21341,0.969846,0,1,3,0.969846,10.1
"Jan 2, 05:00 pm",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,10.1
"Jan 2, 06:00 pm",0,4.8,0,0,0,0,0,4.8,0,0,1,0,0,9.7
"Jan 2, 07:00 pm",0,4.2,0,0,0,0,0,4.2,0,0,1,0,0,9.7
"Jan 2, 08:00 pm",0,4.1,0,0,0,0,0,4.1,0,0,1,0,0,9.7
"Jan 2, 09:00 pm",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,5.2
"Jan 2, 10:00 pm",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,5.2
"Jan 2, 11:00 pm",0,4.1,0,0,0,0,0,4.1,0,0,1,0,0,5.2
"Jan 3, 12:00 am",0,4.4,0,0,0,0,0,4.4,0,0,1,0,0,4.8
"Jan 3, 01:00 am",0,4.8,0,0,0,0,0,4.8,0,0,1,0,0,4.8
"Jan 3, 02:00 am",0,4.3,0,0,0,0,0,4.3,0,0,1,0,0,4.8
"Jan 3, 03:00 am",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,2.6
"Jan 3, 04:00 am",0,3.4,0,0,0,0,0,3.4,0,0,1,0,0,2.6
"Jan 3, 05:00 am",0,3.4,0,0,0,0,0,3.4,0,0,1,0,0,2.6
"Jan 3, 06:00 am",0,3.4,0,0,0,0,0,3.4,0,0,1,0,0,4.6
"Jan 3, 07:00 am",0,3.5,78.1305,0,0,0,0,3.5,0,0,1,2,0,4.6
"Jan 3, 08:00 am",53.1653,3.2,73.0285,0,76.835,21,21,2.05993,20.1797,0.0531653,1,1,20.1797,4.6
"Jan 3, 09:00 am",91.0966,2.9,63.3916,0,115.493,32,32,2.09617,30.3374,0.0910966,1,1,30.3374,5.4
"Jan 3, 10:00 am",144.409,2.5,55.7556,0,169.849,47,47,1.97861,44.5932,0.144409,1,1,44.5932,5.4
"Jan 3, 11:00 am",169.077,2.6,51.1407,0,195.008,54,54,2.22655,51.2526,0.169077,1,1,51.2526,5.4
"Jan 3, 12:00 pm",172.6,2.6,50.4031,0,198.603,55,55,2.25881,52.2044,0.1726,1,1,52.2044,5.5
"Jan 3, 01:00 pm",272.594,2.6,53.7048,0,300.649,81,81,2.76424,79.198,0.272594,1,1,79.198,5.5
"Jan 3, 02:00 pm",101.807,2.6,60.3778,0,126.411,35,35,1.94524,33.184,0.101807,1,1,33.184,5.5
"Jan 3, 03:00 pm",578.102,2.6,69.4181,243,612.99,63,92,4.00363,173.671,0.578102,1,1,162.332,9
