,Air temperature | ('C),Power generated by system | (kW),Pressure | (atm),Wind direction | (deg),Wind speed | (m/s)
"Jan 1, 12:00 am",10.177,10730,1.00493,328,6.248
"Jan 1, 01:00 am",8.647,15938.7,1.00503,326,7.021
"Jan 1, 02:00 am",7.731,23387.3,1.00491,323,7.889
"Jan 1, 03:00 am",6.894,33703.8,1.00503,323,8.913
"Jan 1, 04:00 am",5.868,29894.2,1.00529,320,8.538
"Jan 1, 05:00 am",5.168,31030.1,1.0055,317,8.629
"Jan 1, 06:00 am",5.2,29171.5,1.00561,314,8.446
"Jan 1, 07:00 am",4.517,24735.9,1.00568,316,7.978
"Jan 1, 08:00 am",3.908,25454.2,1.00581,313,8.049
"Jan 1, 09:00 am",3.193,29753.9,1.00551,319,8.491
"Jan 1, 10:00 am",2.125,25935.6,1.00528,324,8.117
"Jan 1, 11:00 am",1.928,19130.7,1.00526,327,7.359
"Jan 1, 12:00 pm",1.734,20319.4,1.0053,327,7.497
"Jan 1, 01:00 pm",1.361,18665.2,1.00521,327,7.3
"Jan 1, 02:00 pm",0.683,21267.4,1.0051,325,7.581
"Jan 1, 03:00 pm",0.82,13189.4,1.00531,321,6.583
"Jan 1, 04:00 pm",2.71,4926.5,1.00537,324,5.104
"Jan 1, 05:00 pm",5.546,7723.92,1.00509,319,5.652
"Jan 1, 06:00 pm",8.167,4466.62,1.00467,316,5
"Jan 1, 07:00 pm",9.457,4322.76,1.00439,328,5.013
"Jan 1, 08:00 pm",9.962,1947.19,1.00421,340,4.244
"Jan 1, 09:00 pm",10.595,0,1.00364,341,3.224
"Jan 1, 10:00 pm",11.068,0,1.00313,330,3.141
"Jan 1, 11:00 pm",10.979,0,1.00291,335,3.047
"Jan 2, 12:00 am",9.397,0,1.00278,351,2.4
"Jan 2, 01:00 am",7.967,0,1.00274,4,2.045
"Jan 2, 02:00 am",7.105,0,1.00269,358,2.126
"Jan 2, 03:00 am",6.322,0,1.00293,354,1.85
"Jan 2, 04:00 am",5.37,0,1.00306,4,1.979
"Jan 2, 05:00 am",4.705,0,1.00318,31,2.008
"Jan 2, 06:00 am",4.179,0,1.0032,37,1.899
"Jan 2, 07:00 am",3.596,0,1.00339,43,1.733
"Jan 2, 08:00 am",3.334,0,1.00342,61,1.678
"Jan 2, 09:00 am",2.505,0,1.00328,98,1.922
"Jan 2, 10:00 am",2.589,0,1.00325,128,1.607
"Jan 2, 11:00 am",2.171,0,1.00326,112,1.328
"Jan 2, 12:00 pm",1.657,0,1.00334,98,1.604
"Jan 2, 01:00 pm",1.324,0,1.00344,111,1.434
"Jan 2, 02:00 pm",1.161,0,1.00352,147,1.465
"Jan 2, 03:00 pm",1.183,0,1.00381,160,1.385
"Jan 2, 04:00 pm",3.295,0,1.00404,125,1.09
"Jan 2, 05:00 pm",6.067,0,1.00401,123,1.691
"Jan 2, 06:00 pm",8.437,0,1.00383,124,0.977
"Jan 2, 07:00 pm",10.518,0,1.00358,119,0.499
"Jan 2, 08:00 pm",12.26,0,1.00333,129,0.585
"Jan 2, 09:00 pm",13.548,0,1.00265,144,0.599
"Jan 2, 10:00 pm",14.201,0,1.00207,180,0.517
"Jan 2, 11:00 pm",14.281,0,1.00174,210,0.442
"Jan 3, 12:00 am",12.655,0,1.00155,296,0.62
"Jan 3, 01:00 am",11.478,0,1.0014,343,0.855
"Jan 3, 02:00 am",10.587,0,1.00113,323,0.775
"Jan 3, 03:00 am",9.638,0,1.00129,303,1.154
"Jan 3, 04:00 am",8.968,0,1.00142,320,1.571
"Jan 3, 05:00 am",8.467,0,1.00143,338,1.458
"Jan 3, 06:00 am",8.069,0,1.00142,342,1.633
"Jan 3, 07:00 am",7.832,0,1.00152,345,1.819
"Jan 3, 08:00 am",7.422,0,1.00155,360,1.758
"Jan 3, 09:00 am",6.876,0,1.00122,3,1.565
"Jan 3, 10:00 am",6.368,0,1.00111,345,1.605
"Jan 3, 11:00 am",5.601,0,1.00113,332,1.689
"Jan 3, 12:00 pm",4.817,0,1.00119,333,1.921
"Jan 3, 01:00 pm",4.241,0,1.00124,339,2.077
"Jan 3, 02:00 pm",3.749,0,1.00127,344,2.201
"Jan 3, 03:00 pm",3.506,0,1.00165,343,2.143
"Jan 3, 04:00 pm",5.384,0,1.00198,341,2.155
"Jan 3, 05:00 pm",7.995,0,1.00237,336,1.947
"Jan 3, 06:00 pm",10.4,0,1.0025,323,1.553
"Jan 3, 07:00 pm",12.321,0,1.00243,320,2.074
"Jan 3, 08:00 pm",13.639,0,1.00223,328,2.878
"Jan 3, 09:00 pm",14.459,0,1.00173,333,3.025
"Jan 3, 10:00 pm",14.962,0,1.00123,336,3.214
"Jan 3, 11:00 pm",14.84,0,1.00103,338,3.014
"Jan 4, 12:00 am",12.72,0,1.00106,340,3.489
"Jan 4, 01:00 am",10.999,843.75,1.00115,337,3.754
"Jan 4, 02:00 am",9.883,689.553,1.00117,333,3.681
"Jan 4, 03:00 am",9.041,0,1.00139,324,3.547
"Jan 4, 04:00 am",8.243,0,1.0016,323,3.376
