,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",1.984,58617.5,0.977993,349,11.871
"Jan 1, 01:00 am",0.847,49878.4,0.978504,355,10.452
"Jan 1, 02:00 am",-0.09,48822.4,0.978713,357,10.343
"Jan 1, 03:00 am",-0.295,50281,0.978635,358,10.474
"Jan 1, 04:00 am",-0.733,36639.4,0.978456,3,9.178
"Jan 1, 05:00 am",-0.919,25346.1,0.978597,12,8.06
"Jan 1, 06:00 am",-0.942,14271.2,0.978798,24,6.846
"Jan 1, 07:00 am",-1.184,9254.27,0.979159,56,5.955
"Jan 1, 08:00 am",-1.104,17018.3,0.97922,71,7.091
"Jan 1, 09:00 am",-0.904,34148.8,0.97946,82,9.017
"Jan 1, 10:00 am",-0.84,32173.1,0.979735,91,8.894
"Jan 1, 11:00 am",-1.075,33021.8,0.979897,95,8.951
"Jan 1, 12:00 pm",-1.338,28772.9,0.980158,100,8.477
"Jan 1, 01:00 pm",-1.028,27790.8,0.980361,103,8.343
"Jan 1, 02:00 pm",0.267,16564.8,0.980467,103,7.068
"Jan 1, 03:00 pm",1.821,14848.6,0.980361,104,6.867
"Jan 1, 04:00 pm",3.233,13442.6,0.979822,106,6.688
"Jan 1, 05:00 pm",4.447,11393.4,0.979364,114,6.336
"Jan 1, 06:00 pm",5.374,13512.5,0.97886,118,6.709
"Jan 1, 07:00 pm",5.94,15129.3,0.978504,120,6.917
"Jan 1, 08:00 pm",6.074,13828.9,0.978031,124,6.76
"Jan 1, 09:00 pm",5.089,16024.8,0.977663,125,7.021
"Jan 1, 10:00 pm",2.063,33482.5,0.977379,123,8.909
"Jan 1, 11:00 pm",1.236,47912.1,0.977155,123,10.297
"Jan 2, 12:00 am",0.831,53472,0.976919,122,10.842
"Jan 2, 01:00 am",0.243,55172.2,0.976644,124,11.042
"Jan 2, 02:00 am",0.058,55117.4,0.976258,125,11.032
"Jan 2, 03:00 am",-0.09,49891.8,0.975751,127,10.472
"Jan 2, 04:00 am",-0.209,37882,0.97549,122,9.368
"Jan 2, 05:00 am",-0.29,33673.8,0.975205,123,8.907
"Jan 2, 06:00 am",-0.324,29049.5,0.974992,130,8.473
"Jan 2, 07:00 am",1.121,20435.5,0.974841,147,7.582
"Jan 2, 08:00 am",2.789,13646.4,0.97449,162,6.745
"Jan 2, 09:00 am",3.478,4444.5,0.974459,167,5.009
"Jan 2, 10:00 am",2.693,7288.17,0.974218,167,5.605
"Jan 2, 11:00 am",1.524,16433.1,0.973733,171,7.036
"Jan 2, 12:00 pm",1.756,15668.6,0.973452,170,6.947
"Jan 2, 01:00 pm",2.965,13452.9,0.973106,172,6.681
"Jan 2, 02:00 pm",5.086,10863,0.972897,188,6.226
"Jan 2, 03:00 pm",6.628,11854.8,0.972335,195,6.488
"Jan 2, 04:00 pm",8.737,2548.96,0.971867,204,4.51
"Jan 2, 05:00 pm",8.66,0,0.971876,265,3.26
"Jan 2, 06:00 pm",6.341,0,0.971797,316,2.661
"Jan 2, 07:00 pm",5.986,0,0.971714,275,2.402
"Jan 2, 08:00 pm",5.908,0,0.97143,236,2.666
"Jan 2, 09:00 pm",5.736,0,0.971202,227,2.938
"Jan 2, 10:00 pm",5.654,0,0.971299,237,2.403
"Jan 2, 11:00 pm",5.874,0,0.97136,214,2.486
"Jan 3, 12:00 am",6.199,0,0.971494,207,2.713
"Jan 3, 01:00 am",6.49,0,0.97167,213,2.571
