,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",1.198,19126.6,0.977858,347,7.355
"Jan 1, 01:00 am",1.705,29453.1,0.978234,352,8.515
"Jan 1, 02:00 am",1.849,39717.5,0.978296,346,9.559
"Jan 1, 03:00 am",0.783,37836.1,0.978344,345,9.366
"Jan 1, 04:00 am",0.302,33918.2,0.978483,340,8.986
"Jan 1, 05:00 am",0.146,46998.9,0.978865,340,10.23
"Jan 1, 06:00 am",-0.41,56000.1,0.979456,344,11.118
"Jan 1, 07:00 am",-0.331,38537.9,0.979992,343,9.437
"Jan 1, 08:00 am",-0.908,53514.2,0.980476,345,10.782
"Jan 1, 09:00 am",-1.142,20132,0.981197,342,7.487
"Jan 1, 10:00 am",-1.097,16358.9,0.982044,332,7.093
"Jan 1, 11:00 am",-1.232,23092.4,0.982776,340,7.869
"Jan 1, 12:00 pm",-1.752,23183.4,0.983441,344,7.831
"Jan 1, 01:00 pm",-0.85,16689.7,0.984019,346,7.042
"Jan 1, 02:00 pm",-0.083,1822.83,0.984113,353,4.165
"Jan 1, 03:00 pm",0.649,0,0.983797,356,3.314
"Jan 1, 04:00 pm",1.311,0,0.983393,350,2.839
"Jan 1, 05:00 pm",1.757,0,0.982959,359,1.638
"Jan 1, 06:00 pm",2.05,0,0.982694,132,0.692
"Jan 1, 07:00 pm",2.042,0,0.981896,148,2.472
"Jan 1, 08:00 pm",0.033,5657.61,0.981046,141,5.281
"Jan 1, 09:00 pm",-0.364,23786.7,0.980775,143,7.92
"Jan 1, 10:00 pm",-0.022,32012.4,0.980295,149,8.829
"Jan 1, 11:00 pm",0.972,41019.8,0.979698,150,9.767
"Jan 2, 12:00 am",1.955,32548.9,0.978798,154,8.928
"Jan 2, 01:00 am",2.837,45958.5,0.978065,154,10.245
"Jan 2, 02:00 am",3.561,51745.5,0.976576,152,10.833
"Jan 2, 03:00 am",4.266,56575.6,0.974805,162,11.435
"Jan 2, 04:00 am",4.864,56047.1,0.973495,170,11.304
"Jan 2, 05:00 am",5.448,57876.6,0.971868,175,12.152
"Jan 2, 06:00 am",5.866,57731.9,0.970518,174,12.608
"Jan 2, 07:00 am",6.205,57511.7,0.968971,173,12.104
"Jan 2, 08:00 am",6.151,56653.3,0.967714,179,11.691
"Jan 2, 09:00 am",6.059,57469.3,0.966772,183,12.254
"Jan 2, 10:00 am",5.949,56816.4,0.966071,195,11.787
"Jan 2, 11:00 am",5.628,40848.9,0.965527,208,9.886
"Jan 2, 12:00 pm",5.239,40059.7,0.965192,230,9.687
"Jan 2, 01:00 pm",3.959,21630.9,0.964983,246,7.736
"Jan 2, 02:00 pm",3.895,21857.8,0.965096,239,7.77
"Jan 2, 03:00 pm",3.646,16968.8,0.965205,246,7.147
"Jan 2, 04:00 pm",3.941,21115.1,0.965109,246,7.667
"Jan 2, 05:00 pm",3.829,26717.2,0.965121,247,8.294
"Jan 2, 06:00 pm",3.648,22163.2,0.965442,247,7.797
"Jan 2, 07:00 pm",3.009,35978.7,0.965383,239,9.238
"Jan 2, 08:00 pm",1.703,54497.8,0.965723,232,11.072
"Jan 2, 09:00 pm",0.831,58560.7,0.966686,229,12.392
"Jan 2, 10:00 pm",0.517,58672.8,0.967426,234,12.506
"Jan 2, 11:00 pm",-0.05,58159.2,0.968005,234,11.789
"Jan 3, 12:00 am",-0.315,56187.4,0.968446,232,11.235
"Jan 3, 01:00 am",-0.688,55390.5,0.969013,243,11.099
"Jan 3, 02:00 am",-1.268,32833.2,0.96965,263,8.939
"Jan 3, 03:00 am",-1.187,19111,0.969897,277,7.447
"Jan 3, 04:00 am",-1.835,27996.1,0.970124,275,8.481
"Jan 3, 05:00 am",-2.76,24549,0.970573,271,8.12
"Jan 3, 06:00 am",-3.239,14738.6,0.971112,274,6.924
"Jan 3, 07:00 am",-3.925,13955.3,0.971735,287,6.722
"Jan 3, 08:00 am",-4.826,21971.6,0.972026,293,7.666
"Jan 3, 09:00 am",-5.457,15333.4,0.972682,299,6.876
"Jan 3, 10:00 am",-6.2,27266.9,0.973685,291,8.222
"Jan 3, 11:00 am",-6.688,14544.5,0.974521,300,6.773
"Jan 3, 12:00 pm",-7.277,10010.5,0.975286,323,6.049
"Jan 3, 01:00 pm",-7.877,19174.2,0.976182,320,7.294
"Jan 3, 02:00 pm",-8.204,23076,0.976715,323,7.775
"Jan 3, 03:00 pm",-8.115,20601.1,0.976823,317,7.449
"Jan 3, 04:00 pm",-8.322,27623.1,0.976923,321,8.234
"Jan 3, 05:00 pm",-8.485,32740.6,0.977064,319,8.723
"Jan 3, 06:00 pm",-8.659,37110.9,0.977138,322,9.129
"Jan 3, 07:00 pm",-9.081,37218.8,0.977315,324,9.153
"Jan 3, 08:00 pm",-9.801,35541.9,0.9778,321,8.956
"Jan 3, 09:00 pm",-10.463,41484.9,0.978403,321,9.556
"Jan 3, 10:00 pm",-11.157,46414.3,0.979347,321,9.949
"Jan 3, 11:00 pm",-11.804,33807.5,0.980362,337,8.867
"Jan 4, 12:00 am",-12.656,54997.1,0.981133,336,10.803
"Jan 4, 01:00 am",-13.047,37656.6,0.981893,335,9.212
"Jan 4, 02:00 am",-13.554,41098.8,0.982108,334,9.575
"Jan 4, 03:00 am",-13.859,32511.7,0.982271,334,8.743
"Jan 4, 04:00 am",-14.109,33697.5,0.982015,334,8.844
"Jan 4, 05:00 am",-14.269,29694.4,0.981984,329,8.441
"Jan 4, 06:00 am",-14.347,26578.2,0.982139,329,8.131
"Jan 4, 07:00 am",-14.445,28322.6,0.982258,330,8.311
"Jan 4, 08:00 am",-14.522,32085.7,0.982309,327,8.653
"Jan 4, 09:00 am",-14.58,28889.2,0.98259,327,8.334
"Jan 4, 10:00 am",-14.61,28215.3,0.98292,326,8.255
"Jan 4, 11:00 am",-14.648,34609,0.982962,323,8.82
"Jan 4, 12:00 pm",-14.5,40080.1,0.98334,322,9.351
"Jan 4, 01:00 pm",-13.799,37384.7,0.983496,321,9.05
"Jan 4, 02:00 pm",-12.654,26596.7,0.983249,317,8.061
"Jan 4, 03:00 pm",-11.541,23275.2,0.982669,311,7.727
"Jan 4, 04:00 pm",-10.576,17614.5,0.982182,306,7.084
"Jan 4, 05:00 pm",-9.666,11697.3,0.981688,297,6.263
"Jan 4, 06:00 pm",-8.65,12034.9,0.981319,290,6.349
"Jan 4, 07:00 pm",-8.223,6717.7,0.980859,284,5.48
"Jan 4, 08:00 pm",-8.332,10604.8,0.980493,276,6.189
"Jan 4, 09:00 pm",-8.726,15782.6,0.98052,266,6.992
"Jan 4, 10:00 pm",-8.805,19830.9,0.980691,256,7.373
"Jan 4, 11:00 pm",-8.778,28773.8,0.980689,252,8.334
"Jan 5, 12:00 am",-8.604,30097.2,0.980563,246,8.47
"Jan 5, 01:00 am",-8.244,29956.9,0.98033,239,8.468
"Jan 5, 02:00 am",-8.26,28950.1,0.979791,225,8.35
"Jan 5, 03:00 am",-8.019,38897.4,0.979083,231,9.339
"Jan 5, 04:00 am",-7.799,38967.4,0.978588,234,9.356
"Jan 5, 05:00 am",-7.91,27482.2,0.978179,237,8.222
"Jan 5, 06:00 am",-8.286,18899.9,0.977798,237,7.261
"Jan 5, 07:00 am",-8.531,14406.9,0.977353,235,6.739
"Jan 5, 08:00 am",-8.649,12643.2,0.976707,237,6.496
"Jan 5, 09:00 am",-8.993,12550.2,0.976515,232,6.475
"Jan 5, 10:00 am",-8.894,16759.5,0.976241,230,7.008
"Jan 5, 11:00 am",-8.011,17613.6,0.976044,229,7.112
"Jan 5, 12:00 pm",-7.4,12692.4,0.975692,226,6.505
"Jan 5, 01:00 pm",-6.153,11376.7,0.975378,223,6.239
"Jan 5, 02:00 pm",-4.949,0,0.975005,225,3.281
"Jan 5, 03:00 pm",-3.808,0,0.974508,240,2.681
"Jan 5, 04:00 pm",-2.741,0,0.974101,262,2.577
"Jan 5, 05:00 pm",-1.852,0,0.97375,272,3.084
"Jan 5, 06:00 pm",-1.479,1597.81,0.973407,261,4.102
"Jan 5, 07:00 pm",-1.55,4791.95,0.973367,261,5.117
"Jan 5, 08:00 pm",-2.38,8181.76,0.973881,269,5.837
"Jan 5, 09:00 pm",-3.411,26899.8,0.974768,289,8.213
"Jan 5, 10:00 pm",-4.175,50230.2,0.975764,289,10.428
"Jan 5, 11:00 pm",-4.9,48920.6,0.976685,297,10.284
"Jan 6, 12:00 am",-5.575,36499.7,0.977319,301,9.1
"Jan 6, 01:00 am",-6.24,25393.3,0.978016,297,8.024
