,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",-4.316,0,0.993654,99,2.503
"Jan 1, 01:00 am",-4.454,1896.97,0.993082,108,4.178
"Jan 1, 02:00 am",-4.313,9656.32,0.992294,122,5.982
"Jan 1, 03:00 am",-4.538,20004.8,0.991418,126,7.386
"Jan 1, 04:00 am",-4.779,29932.1,0.990501,133,8.461
"Jan 1, 05:00 am",-5.229,27231.2,0.98976,142,8.198
"Jan 1, 06:00 am",-5.461,28160.8,0.98904,146,8.33
"Jan 1, 07:00 am",-5.711,27348.7,0.988343,151,8.296
"Jan 1, 08:00 am",-5.995,23601.9,0.987654,154,7.907
"Jan 1, 09:00 am",-6.27,21144.1,0.986837,158,7.586
"Jan 1, 10:00 am",-6.261,19576.8,0.98605,159,7.396
"Jan 1, 11:00 am",-6.209,15381.3,0.985309,157,6.924
"Jan 1, 12:00 pm",-6.415,11248.6,0.984667,158,6.268
"Jan 1, 01:00 pm",-6.734,12034.9,0.984094,168,6.353
"Jan 1, 02:00 pm",-4.56,22152,0.98323,175,7.651
"Jan 1, 03:00 pm",-1.613,25579.1,0.982317,186,8.064
"Jan 1, 04:00 pm",0.198,17997.6,0.981234,186,7.199
"Jan 1, 05:00 pm",2.111,12454.9,0.980162,189,6.519
"Jan 1, 06:00 pm",3.718,12205.3,0.979062,193,6.502
"Jan 1, 07:00 pm",4.899,11493.7,0.978194,200,6.418
"Jan 1, 08:00 pm",5.568,11115.5,0.977712,206,6.372
"Jan 1, 09:00 pm",4.485,5828.69,0.977316,211,5.4
"Jan 1, 10:00 pm",0.544,6014.27,0.977207,227,5.37
"Jan 1, 11:00 pm",-1.437,9287.79,0.977446,230,5.958
"Jan 2, 12:00 am",-2.407,13019.4,0.977653,235,6.591
"Jan 2, 01:00 am",-3.053,12512.9,0.97778,256,6.527
"Jan 2, 02:00 am",-3.223,13178.5,0.977716,266,6.702
"Jan 2, 03:00 am",-3.444,13801.4,0.977908,277,6.767
"Jan 2, 04:00 am",-3.58,16176.2,0.97793,281,7.015
