,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",7.622,1255.11,0.969274,248,3.941
"Jan 1, 01:00 am",6.865,1122.24,0.969503,255,3.876
"Jan 1, 02:00 am",6.401,0,0.969782,254,3.508
"Jan 1, 03:00 am",5.632,697.784,0.969599,235,3.671
"Jan 1, 04:00 am",5.169,1010.83,0.969248,232,3.821
"Jan 1, 05:00 am",4.779,616.473,0.969288,217,3.628
"Jan 1, 06:00 am",4.433,2679.9,0.969336,203,4.542
"Jan 1, 07:00 am",3.802,5718.52,0.969445,209,5.392
"Jan 1, 08:00 am",3.129,5046.09,0.969281,210,5.219
"Jan 1, 09:00 am",2.432,9272.15,0.969139,211,6.048
"Jan 1, 10:00 am",1.642,12439,0.969295,211,6.613
"Jan 1, 11:00 am",1.238,12597.2,0.968995,217,6.582
"Jan 1, 12:00 pm",2.14,26209.8,0.968759,221,8.214
"Jan 1, 01:00 pm",3.756,18454.1,0.968645,222,7.319
"Jan 1, 02:00 pm",6.219,20587.7,0.967905,215,7.652
"Jan 1, 03:00 pm",8.269,37600,0.967148,214,9.543
"Jan 1, 04:00 pm",8.711,38797.8,0.966035,208,9.735
"Jan 1, 05:00 pm",9.692,30567.5,0.964915,204,8.864
"Jan 1, 06:00 pm",12.238,25190.4,0.963977,209,8.323
"Jan 1, 07:00 pm",13.803,21626,0.963524,222,7.83
"Jan 1, 08:00 pm",13.997,14568.1,0.963246,234,6.93
"Jan 1, 09:00 pm",13.51,25928.7,0.963612,238,8.319
"Jan 1, 10:00 pm",12.93,49909,0.964298,249,10.756
"Jan 1, 11:00 pm",11.499,56278.2,0.965181,284,13.633
"Jan 2, 12:00 am",9.64,56663.4,0.96544,289,13.788
"Jan 2, 01:00 am",7.074,57206.1,0.965843,293,12.222
"Jan 2, 02:00 am",4.719,41084.4,0.966665,295,9.764
"Jan 2, 03:00 am",4.927,57693.2,0.966605,294,13.226
"Jan 2, 04:00 am",3.595,57963.7,0.966485,301,12.454
"Jan 2, 05:00 am",2.465,30477.5,0.966657,309,8.669
"Jan 2, 06:00 am",0.368,34432.2,0.966704,327,9.077
"Jan 2, 07:00 am",-0.137,21262.7,0.966797,303,7.645
"Jan 2, 08:00 am",-0.886,14407,0.966794,297,6.804
"Jan 2, 09:00 am",-0.279,19932.9,0.966993,305,7.473
"Jan 2, 10:00 am",-0.669,25816.1,0.967319,300,8.154
"Jan 2, 11:00 am",-0.983,11168.4,0.967292,272,6.374
"Jan 2, 12:00 pm",-1.154,29454.3,0.967154,278,8.621
"Jan 2, 01:00 pm",-0.247,30423.8,0.96737,282,8.674
"Jan 2, 02:00 pm",0.964,29364.3,0.967463,287,8.552
"Jan 2, 03:00 pm",1.681,38291.4,0.967333,289,9.461
"Jan 2, 04:00 pm",2.493,46506.1,0.966745,284,10.237
"Jan 2, 05:00 pm",3.128,56211.9,0.966116,284,11.391
"Jan 2, 06:00 pm",3.378,56729.6,0.965822,287,11.548
"Jan 2, 07:00 pm",3.228,50643,0.965986,292,10.631
"Jan 2, 08:00 pm",2.484,53622.3,0.965771,297,10.97
"Jan 2, 09:00 pm",1.057,55281.7,0.965819,299,11.162
"Jan 2, 10:00 pm",-0.704,56713.7,0.966259,293,11.313
"Jan 2, 11:00 pm",-1.735,43727.6,0.966934,298,9.907
"Jan 3, 12:00 am",-2.408,45911.2,0.967105,309,10.07
"Jan 3, 01:00 am",-2.721,43621.8,0.967361,312,9.876
"Jan 3, 02:00 am",-3.155,58261.9,0.967641,313,11.557
"Jan 3, 03:00 am",-3.858,55149.3,0.967782,317,10.976
"Jan 3, 04:00 am",-4.071,40430.1,0.967495,316,9.578
"Jan 3, 05:00 am",-4.281,42201.7,0.967724,314,9.731
"Jan 3, 06:00 am",-4.6,44022.2,0.968275,318,9.879
"Jan 3, 07:00 am",-4.799,31972.1,0.968769,314,8.714
"Jan 3, 08:00 am",-5.125,21792.3,0.969205,310,7.65
"Jan 3, 09:00 am",-5.369,30633.1,0.969826,312,8.589
"Jan 3, 10:00 am",-5.565,11247,0.970672,306,6.237
"Jan 3, 11:00 am",-5.789,9561.68,0.971193,295,5.986
"Jan 3, 12:00 pm",-6.045,23292.9,0.971763,302,7.822
"Jan 3, 01:00 pm",-5.569,24125,0.972495,315,7.903
"Jan 3, 02:00 pm",-4.793,16046.7,0.972562,309,6.962
"Jan 3, 03:00 pm",-3.849,20426,0.972765,311,7.48
"Jan 3, 04:00 pm",-3.067,36648.3,0.972357,312,9.172
"Jan 3, 05:00 pm",-2.296,45434.7,0.972936,307,10.016
"Jan 3, 06:00 pm",-1.884,26986.8,0.974096,302,8.243
"Jan 3, 07:00 pm",-1.757,16688.9,0.974027,298,7.057
"Jan 3, 08:00 pm",-1.811,16625,0.974011,299,7.051
"Jan 3, 09:00 pm",-2.6,18663.7,0.974006,297,7.283
"Jan 3, 10:00 pm",-3.749,35185.4,0.972955,307,9.01
"Jan 3, 11:00 pm",-5.042,9295.93,0.974281,314,5.938
"Jan 4, 12:00 am",-5.13,12060,0.974696,300,6.415
"Jan 4, 01:00 am",-5.185,19760.6,0.974994,308,7.39
"Jan 4, 02:00 am",-5.349,9566.38,0.975298,326,6.017
"Jan 4, 03:00 am",-5.398,3925.19,0.975068,319,4.843
"Jan 4, 04:00 am",-5.376,8294.9,0.974871,328,5.789
"Jan 4, 05:00 am",-4.901,2517.7,0.974955,326,4.424
"Jan 4, 06:00 am",-5.43,0,0.975204,280,2.813
"Jan 4, 07:00 am",-5.352,811.621,0.975369,292,3.704
"Jan 4, 08:00 am",-5.673,2860.17,0.975403,270,4.594
"Jan 4, 09:00 am",-5.731,12347.4,0.975473,250,6.465
"Jan 4, 10:00 am",-5.892,20008.8,0.975571,221,7.409
"Jan 4, 11:00 am",-6.125,19870.9,0.975753,206,7.491
"Jan 4, 12:00 pm",-6.721,23539.3,0.975842,216,7.858
"Jan 4, 01:00 pm",-5.322,29405.4,0.975881,231,8.454
"Jan 4, 02:00 pm",-3.257,13046.6,0.975663,227,6.584
"Jan 4, 03:00 pm",-1.372,13452.2,0.975048,221,6.658
"Jan 4, 04:00 pm",0.196,11197,0.973904,216,6.288
"Jan 4, 05:00 pm",1.498,9023.67,0.972949,217,5.948
"Jan 4, 06:00 pm",2.852,10267.3,0.972036,218,6.141
"Jan 4, 07:00 pm",3.602,10969.3,0.971223,217,6.267
"Jan 4, 08:00 pm",3.656,15201.4,0.970375,214,6.967
"Jan 4, 09:00 pm",1.669,23110.5,0.969888,215,7.916
"Jan 4, 10:00 pm",-0.667,29759,0.969826,213,8.626
"Jan 4, 11:00 pm",0.109,45703.4,0.969713,218,10.092
"Jan 5, 12:00 am",-0.051,58060.7,0.96933,224,11.695
"Jan 5, 01:00 am",-0.686,59032.5,0.96908,232,12.956
"Jan 5, 02:00 am",-2.121,53091.2,0.968924,243,10.779
"Jan 5, 03:00 am",-1.213,39318.1,0.968364,254,9.531
"Jan 5, 04:00 am",-2.214,28097.5,0.967645,264,8.486
"Jan 5, 05:00 am",-1.874,21088.5,0.967434,268,7.723
"Jan 5, 06:00 am",-1.267,26745.2,0.967352,276,8.355
"Jan 5, 07:00 am",-1.397,22586.8,0.967233,273,7.915
"Jan 5, 08:00 am",-1.824,13684.9,0.967153,278,6.772
"Jan 5, 09:00 am",-1.29,13606.4,0.967258,289,6.697
"Jan 5, 10:00 am",-0.996,58997.5,0.967402,294,13.63
"Jan 5, 11:00 am",0.721,58649.8,0.967768,293,16.583
"Jan 5, 12:00 pm",0.052,58807.1,0.967994,293,14.637
