,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",-0.015,29189.8,0.971105,353,8.491
"Jan 1, 01:00 am",-0.922,13321.5,0.972549,347,6.643
"Jan 1, 02:00 am",-0.964,9454.14,0.972725,346,5.992
"Jan 1, 03:00 am",-1.347,1546.71,0.973243,355,4.053
"Jan 1, 04:00 am",-1.545,9634.89,0.97366,33,6.061
"Jan 1, 05:00 am",-1.911,7684.61,0.974166,28,5.729
"Jan 1, 06:00 am",-2.339,6523.59,0.974555,23,5.524
"Jan 1, 07:00 am",-2.458,16894.2,0.974861,12,7.065
"Jan 1, 08:00 am",-2.773,4867.97,0.975116,21,5.13
"Jan 1, 09:00 am",-3.255,4626.67,0.975298,38,5.035
"Jan 1, 10:00 am",-3.852,14276,0.975543,49,6.752
"Jan 1, 11:00 am",-4.173,14299.5,0.975633,36,6.778
"Jan 1, 12:00 pm",-4.29,9707.77,0.97592,29,6.081
"Jan 1, 01:00 pm",-3.748,7074.89,0.976207,37,5.559
"Jan 1, 02:00 pm",-2.496,1801.23,0.976498,51,4.164
"Jan 1, 03:00 pm",-1.211,0,0.97639,56,3.07
"Jan 1, 04:00 pm",-0.023,0,0.976124,83,2.751
"Jan 1, 05:00 pm",0.802,0,0.975747,109,2.42
"Jan 1, 06:00 pm",1.433,0,0.975413,143,2.608
"Jan 1, 07:00 pm",1.867,0,0.975084,143,2.666
"Jan 1, 08:00 pm",1.959,0,0.974542,143,2.605
"Jan 1, 09:00 pm",0.448,0,0.974086,143,3.513
"Jan 1, 10:00 pm",-1.893,1280.9,0.973894,160,3.945
"Jan 1, 11:00 pm",-1.993,1582.91,0.973793,160,4.088
"Jan 2, 12:00 am",-2.232,3848.43,0.973583,180,4.838
"Jan 2, 01:00 am",-2.594,7964.83,0.97317,176,5.692
"Jan 2, 02:00 am",-1.835,20511.1,0.972677,188,7.498
"Jan 2, 03:00 am",-2.286,38983,0.971973,193,9.45
"Jan 2, 04:00 am",-2.074,35994.3,0.971422,193,9.111
"Jan 2, 05:00 am",-2.033,29592,0.970951,201,8.601
"Jan 2, 06:00 am",-2.183,26206.7,0.970596,202,8.251
"Jan 2, 07:00 am",-2.829,12337.7,0.970236,206,6.576
"Jan 2, 08:00 am",-2.771,11165.7,0.969634,214,6.283
"Jan 2, 09:00 am",-3.11,25421.1,0.969157,218,8.095
"Jan 2, 10:00 am",-1.822,36728.9,0.96896,214,9.286
"Jan 2, 11:00 am",-0.403,28185.5,0.968573,216,8.432
"Jan 2, 12:00 pm",0.657,21233.7,0.9682,219,7.648
"Jan 2, 01:00 pm",0.942,23753.4,0.967937,213,8.008
"Jan 2, 02:00 pm",1.282,33321.9,0.967638,216,8.946
"Jan 2, 03:00 pm",2.093,35963.1,0.967077,220,9.205
"Jan 2, 04:00 pm",3.197,11119.8,0.966251,217,6.312
"Jan 2, 05:00 pm",3.891,6801.44,0.965651,222,5.543
"Jan 2, 06:00 pm",4.636,11121.6,0.965145,222,6.311
"Jan 2, 07:00 pm",5.34,15910.9,0.964645,222,7.029
"Jan 2, 08:00 pm",5.622,16523.5,0.964197,219,7.116
"Jan 2, 09:00 pm",3.935,21061.7,0.964059,217,7.684
"Jan 2, 10:00 pm",2.572,28111.9,0.964676,226,8.432
"Jan 2, 11:00 pm",2.287,28512.3,0.96491,237,8.485
"Jan 3, 12:00 am",0.185,20636.6,0.965106,242,7.57
"Jan 3, 01:00 am",0.059,7190.76,0.965344,253,5.598
"Jan 3, 02:00 am",-0.171,1235.99,0.965529,258,3.925
"Jan 3, 03:00 am",-0.494,0,0.965608,255,3.287
"Jan 3, 04:00 am",-0.37,0,0.9655,268,2.504
"Jan 3, 05:00 am",0.4,0,0.965674,293,2.549
"Jan 3, 06:00 am",1.129,1416.11,0.965848,294,4.006
"Jan 3, 07:00 am",1.024,3901.55,0.965939,295,4.877
"Jan 3, 08:00 am",-0.158,0,0.966185,307,3.117
"Jan 3, 09:00 am",-0.13,0,0.966407,311,2.699
