,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",-2.911,54752.1,0.895956,118,11.948
"Jan 1, 01:00 am",-3.068,55038.3,0.895612,119,13.397
"Jan 1, 02:00 am",-2.999,54998.4,0.895191,120,14.678
"Jan 1, 03:00 am",-2.893,54959.3,0.894905,118,15.505
"Jan 1, 04:00 am",-2.633,54892.7,0.894681,118,15.885
"Jan 1, 05:00 am",-2.428,54841.1,0.894517,119,17.125
"Jan 1, 06:00 am",-2.18,54782.3,0.894377,119,17.969
"Jan 1, 07:00 am",-1.92,54711.3,0.894074,118,18.542
"Jan 1, 08:00 am",-1.595,54617.2,0.893606,119,19.038
"Jan 1, 09:00 am",-1.459,54570.9,0.893296,119,19.675
"Jan 1, 10:00 am",-1.419,54540.9,0.892936,119,20.172
"Jan 1, 11:00 am",-1.307,54502,0.892668,118,20.282
"Jan 1, 12:00 pm",-1.287,54483,0.892421,117,20.601
"Jan 1, 01:00 pm",-1.118,54420.6,0.891953,117,21.274
"Jan 1, 02:00 pm",-1.07,54367.8,0.891246,117,21.902
"Jan 1, 03:00 pm",-1.063,54323.3,0.890539,117,22.418
"Jan 1, 04:00 pm",-0.981,54287.9,0.890226,116,22.495
"Jan 1, 05:00 pm",-0.884,54261.3,0.890107,117,22.545
"Jan 1, 06:00 pm",-0.54,54168,0.8897,117,22.235
"Jan 1, 07:00 pm",-0.54,54136.6,0.889184,117,22.127
"Jan 1, 08:00 pm",-0.434,54082.2,0.888636,116,21.826
"Jan 1, 09:00 pm",-0.387,54033.2,0.887983,117,21.711
"Jan 1, 10:00 pm",-0.062,53921.6,0.887205,119,21.373
"Jan 1, 11:00 pm",-0.13,53897.4,0.886586,119,21.19
"Jan 2, 12:00 am",-0.369,53908.8,0.885998,119,20.967
"Jan 2, 01:00 am",-0.278,53861.2,0.885511,119,20.032
"Jan 2, 02:00 am",0.105,53737.2,0.884712,122,19.728
"Jan 2, 03:00 am",0.624,53574.5,0.883709,125,19.531
"Jan 2, 04:00 am",1.049,53451,0.88304,128,19.203
"Jan 2, 05:00 am",1.366,53357.1,0.882508,131,18.819
"Jan 2, 06:00 am",1.466,53307.4,0.882008,133,17.845
"Jan 2, 07:00 am",1.61,53255.6,0.881612,134,16.566
"Jan 2, 08:00 am",1.241,53298,0.88113,133,16.326
"Jan 2, 09:00 am",0.986,53315.9,0.880606,136,16.129
"Jan 2, 10:00 am",0.751,53351.8,0.880444,140,14.627
"Jan 2, 11:00 am",0.44,49185.5,0.880469,146,11.018
"Jan 2, 12:00 pm",-0.086,22186.5,0.88044,155,8.103
"Jan 2, 01:00 pm",-0.616,18150.3,0.880451,142,7.478
"Jan 2, 02:00 pm",-0.814,23237.1,0.880259,145,8.159
"Jan 2, 03:00 pm",-0.533,21627.9,0.880279,144,7.962
"Jan 2, 04:00 pm",-0.56,10692.4,0.880185,131,6.405
"Jan 2, 05:00 pm",-0.132,5116.55,0.879931,130,5.291
"Jan 2, 06:00 pm",0.362,5211.6,0.87967,136,5.313
"Jan 2, 07:00 pm",0.42,2974.04,0.879536,138,4.687
"Jan 2, 08:00 pm",0.534,3545.89,0.879501,144,4.884
"Jan 2, 09:00 pm",0.478,2762.32,0.879396,134,4.613
"Jan 2, 10:00 pm",0.238,2469.31,0.878975,125,4.506
"Jan 2, 11:00 pm",0.12,4331.11,0.878811,123,5.092
"Jan 3, 12:00 am",0.166,5914.46,0.87874,123,5.488
"Jan 3, 01:00 am",0.092,3583.15,0.878613,115,4.884
"Jan 3, 02:00 am",0.401,5773.33,0.878254,115,5.459
"Jan 3, 03:00 am",0.751,15800.1,0.877771,119,7.178
"Jan 3, 04:00 am",1.06,20733.4,0.877383,120,7.852
"Jan 3, 05:00 am",1.106,25917.9,0.87691,119,8.469
"Jan 3, 06:00 am",1.286,35220.1,0.87649,124,9.519
"Jan 3, 07:00 am",1.185,30490,0.876097,124,8.947
"Jan 3, 08:00 am",1.232,35882.3,0.875581,123,9.593
"Jan 3, 09:00 am",1.271,40033.3,0.875067,123,9.99
"Jan 3, 10:00 am",1.255,27889.2,0.874647,127,8.692
"Jan 3, 11:00 am",1.283,42897.4,0.873907,121,10.304
"Jan 3, 12:00 pm",1.524,52746.8,0.872916,130,12.938
"Jan 3, 01:00 pm",1.608,52689.8,0.87224,132,13.808
"Jan 3, 02:00 pm",1.658,52625.2,0.871329,130,13.559
"Jan 3, 03:00 pm",1.785,52550.8,0.8705,134,14.669
"Jan 3, 04:00 pm",1.717,52529.5,0.869931,129,14.512
"Jan 3, 05:00 pm",1.628,52516.9,0.869441,130,14.874
"Jan 3, 06:00 pm",1.805,52434.5,0.868635,129,14.797
"Jan 3, 07:00 pm",1.866,52353.9,0.867493,127,15.629
"Jan 3, 08:00 pm",1.945,52260.3,0.86619,132,17.003
"Jan 3, 09:00 pm",1.815,52255.4,0.8657,135,16.627
"Jan 3, 10:00 pm",1.909,52202.7,0.865123,142,16.141
"Jan 3, 11:00 pm",2.294,52108.7,0.864774,151,16.096
"Jan 4, 12:00 am",2.635,52035.3,0.864625,155,14.959
"Jan 4, 01:00 am",2.191,39970,0.865391,181,10.021
"Jan 4, 02:00 am",0.715,50640.6,0.865837,212,11.442
"Jan 4, 03:00 am",0.319,34300,0.865992,213,9.518
"Jan 4, 04:00 am",-2.719,6047.25,0.866462,176,5.505
"Jan 4, 05:00 am",-6.116,7595.84,0.866628,191,5.777
"Jan 4, 06:00 am",-3.598,1938.78,0.866399,127,4.297
"Jan 4, 07:00 am",-1.346,16195.3,0.86598,137,7.234
"Jan 4, 08:00 am",0.049,12796.6,0.865219,150,6.87
"Jan 4, 09:00 am",1.273,17215.2,0.863761,151,7.493
