,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",-21.06,47170.5,0.748466,302,11.269
"Jan 1, 01:00 am",-21.048,44613.9,0.748697,291,10.84
"Jan 1, 02:00 am",-21.006,44332.1,0.748751,281,10.864
"Jan 1, 03:00 am",-20.541,43544.4,0.748868,270,10.897
"Jan 1, 04:00 am",-19.958,43902.2,0.749193,265,10.925
"Jan 1, 05:00 am",-19.357,42723.4,0.749333,258,10.674
"Jan 1, 06:00 am",-18.853,42792.8,0.749394,254,10.659
"Jan 1, 07:00 am",-18.901,45646.4,0.749527,255,11.069
"Jan 1, 08:00 am",-18.385,48357.4,0.749828,252,11.808
"Jan 1, 09:00 am",-18.07,48659.6,0.750091,249,12.027
"Jan 1, 10:00 am",-18.41,44613,0.75009,244,10.901
"Jan 1, 11:00 am",-19.248,48850.4,0.750129,248,11.992
"Jan 1, 12:00 pm",-18.945,49013.9,0.750692,255,12.477
"Jan 1, 01:00 pm",-19.876,49229.4,0.751231,251,12.937
"Jan 1, 02:00 pm",-20.112,47965.8,0.751359,249,11.428
"Jan 1, 03:00 pm",-20.288,46723.8,0.75161,247,11.165
"Jan 1, 04:00 pm",-19.715,49259.3,0.752209,249,12.204
"Jan 1, 05:00 pm",-18.35,49011.7,0.752416,250,13.395
"Jan 1, 06:00 pm",-16.943,48744.6,0.752447,255,14.691
"Jan 1, 07:00 pm",-15.739,48536.2,0.752752,254,14.993
"Jan 1, 08:00 pm",-14.918,48413.1,0.753237,247,14.445
"Jan 1, 09:00 pm",-14.708,48388.7,0.75347,242,14.274
"Jan 1, 10:00 pm",-15.231,48475.1,0.753287,234,15.554
"Jan 1, 11:00 pm",-16.16,48651.7,0.753309,236,17.867
"Jan 2, 12:00 am",-16.608,48748.2,0.753487,242,18.866
"Jan 2, 01:00 am",-16.41,48724,0.753694,244,17.6
"Jan 2, 02:00 am",-16.154,48680.1,0.753766,245,16.865
"Jan 2, 03:00 am",-15.846,48625.7,0.753826,245,17.125
"Jan 2, 04:00 am",-15.495,48573.3,0.75404,248,17.836
"Jan 2, 05:00 am",-15.46,48577.2,0.754204,248,18.431
"Jan 2, 06:00 am",-15.568,48602.5,0.754281,247,19
"Jan 2, 07:00 am",-16.175,48728.7,0.754457,244,19.758
