YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2001-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.068,1,0.399,1,0.17,0
2001-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.068,1,0.399,1,0.17,0
2001-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.068,1,0.399,1,0.17,0
2001-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.068,1,0.399,1,0.17,0
2001-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.068,1,0.399,1,0.17,0
2001-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.068,1,0.399,1,0.17,0
2001-01-01,7:00,89.7,118.2,1,106,0,1,8,11,1,15,0,1,8,0,10,0,16,0,10,0,10,9,16,0,10,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,8:00,84.4,122.9,139,1415,69,0,8,369,0,15,33,0,8,19,10,0,16,19,10,59,10,351,16,25,10,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,9:00,74.8,132.9,372,1415,247,0,8,442,0,15,131,0,8,57,10,0,16,57,10,223,10,677,16,45,10,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,10:00,66.7,144.7,560,1415,135,0,8,0,0,15,135,0,8,113,10,0,16,113,10,381,10,810,16,60,10,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,11:00,60.8,158.7,690,1415,289,0,8,127,0,15,227,0,8,146,24,0,27,146,24,494,10,871,16,70,10,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,12:00,57.9,174.3,751,1415,97,0,8,0,0,15,97,0,8,161,10,0,16,161,10,549,10,894,16,74,10,-9900,99,-9900,99,-9900,99,0.8,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,13:00,58.5,190.5,740,1415,89,0,8,0,0,15,89,0,8,158,10,0,16,158,10,540,10,892,16,74,10,-9900,99,-9900,99,-9900,99,0.7,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,14:00,62.3,205.8,658,1415,85,0,8,0,0,15,85,0,8,138,10,0,16,138,10,467,10,861,16,67,10,-9900,99,-9900,99,-9900,99,0.7,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,15:00,68.9,219.1,509,1415,354,0,8,546,0,15,158,0,8,101,10,0,16,101,10,338,10,785,16,56,10,-9900,99,-9900,99,-9900,99,0.6,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,16:00,77.5,230.3,305,1415,192,0,8,667,0,15,48,0,8,53,10,0,16,53,10,173,10,614,16,40,10,-9900,99,-9900,99,-9900,99,0.6,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,17:00,86.3,238.8,72,1097,24,0,8,265,0,15,6,0,8,10,10,0,16,10,10,27,10,198,16,14,10,-9900,99,-9900,99,-9900,99,0.6,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,2,0.068,1,0.065,1,0.399,1,0.17,0
2001-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,2,0.067,1,0.065,1,0.294,1,0.17,0
2001-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,2,0.067,1,0.065,1,0.294,1,0.17,0
2001-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,2,0.067,1,0.065,1,0.294,1,0.17,0
2001-01-02,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,2,0.067,1,0.065,1,0.294,1,0.17,0
2001-01-02,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.2,2,0.067,1,0.065,1,0.294,1,0.17,0
2001-01-02,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.2,2,0.067,1,0.065,1,0.294,1,0.17,0
2001-01-02,7:00,89.7,118.0,1,106,0,1,8,10,1,15,0,1,8,0,10,0,16,0,10,0,10,7,16,0,10,-9900,99,-9900,99,-9900,99,0.2,2,0.067,1,0.077,1,0.294,1,0.17,0
