YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2005-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,3,0.062,1,0.062,1,0.284,2,0.17,0
2005-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.062,1,0.062,1,0.272,2,0.17,0
2005-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.062,1,0.062,1,0.272,2,0.17,0
2005-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.062,1,0.062,1,0.272,2,0.17,0
2005-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,3,0.062,1,0.062,1,0.272,2,0.17,0
2005-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.062,1,0.062,1,0.272,2,0.17,0
2005-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.8,3,0.062,1,0.062,1,0.272,2,0.17,0
2005-01-01,8:00,88.8,118.6,8,366,2,1,8,19,1,15,2,1,8,2,10,36,16,1,10,2,10,36,16,1,10,-9900,99,-9900,99,-9900,99,1.8,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,9:00,82.4,124.3,188,1415,75,0,8,157,0,15,54,0,8,86,10,374,16,37,10,89,10,439,16,31,10,-9900,99,-9900,99,-9900,99,1.8,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,10:00,72.8,134.4,418,1415,284,0,8,657,0,15,90,0,8,256,10,703,16,49,10,256,10,703,16,49,10,-9900,99,-9900,99,-9900,99,1.8,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,11:00,64.9,146.5,600,1415,412,0,8,800,0,15,72,0,8,408,24,813,27,63,24,408,10,813,16,63,10,-9900,99,-9900,99,-9900,99,1.8,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,12:00,59.3,160.8,721,1415,505,0,8,814,0,15,90,0,8,512,10,863,16,72,10,512,10,864,16,72,10,-9900,99,-9900,99,-9900,99,1.9,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,13:00,56.9,176.8,772,1415,537,0,8,802,0,15,99,0,8,557,10,882,16,76,10,557,10,882,16,76,10,-9900,99,-9900,99,-9900,99,1.9,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,14:00,58.0,193.1,750,1415,514,0,8,728,0,15,128,0,8,426,10,528,16,146,10,537,10,873,16,74,10,-9900,99,-9900,99,-9900,99,1.9,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,15:00,62.4,208.1,656,1415,391,0,8,462,0,15,176,0,8,152,24,1,27,152,24,455,10,837,16,67,10,-9900,99,-9900,99,-9900,99,2.0,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,16:00,69.4,221.1,497,1415,317,0,8,665,0,15,83,0,8,98,24,0,27,98,24,320,10,755,16,55,10,-9900,99,-9900,99,-9900,99,2.0,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,17:00,78.4,232.0,283,1415,166,0,8,571,0,15,51,0,8,154,24,573,27,39,24,154,10,573,16,39,10,-9900,99,-9900,99,-9900,99,2.0,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,18:00,86.8,239.7,53,931,11,0,8,228,0,15,0,0,8,19,24,149,27,10,24,19,10,149,16,10,10,-9900,99,-9900,99,-9900,99,1.9,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,3,0.062,1,0.064,1,0.272,2,0.17,0
2005-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.061,1,0.064,1,0.285,2,0.17,0
