YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1993-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.123,1,0.123,1,0.282,1,0.19,0
1993-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.123,1,0.123,1,0.282,1,0.19,0
1993-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.123,1,0.123,1,0.282,1,0.19,0
1993-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.123,1,0.123,1,0.282,1,0.19,0
1993-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.123,1,0.123,1,0.282,1,0.19,0
1993-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.123,1,0.123,1,0.282,1,0.19,0
1993-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.123,1,0.123,1,0.282,1,0.19,0
1993-01-01,8:00,89.4,121.5,3,224,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,-9900,-9900,-9900,-9900,-9900,-9900,-9900,10,-9900,16,-9900,10,-9900,99,-9900,99,-9900,99,0.8,1,0.123,1,-9900.000,1,0.282,1,0.19,0
1993-01-01,9:00,84.3,127.4,140,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,-9900,-9900,-9900,-9900,-9900,-9900,-9900,10,-9900,16,-9900,10,-9900,99,-9900,99,-9900,99,0.8,1,0.123,1,-9900.000,1,0.282,1,0.19,0
1993-01-01,10:00,76.2,138.7,338,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,-9900,-9900,-9900,-9900,-9900,-9900,-9900,10,-9900,16,-9900,10,-9900,99,-9900,99,-9900,99,0.8,1,0.123,1,-9900.000,1,0.282,1,0.19,0
