LocalTime,Power(MW)
1/1/08 01:00,0
1/1/08 02:00,0
1/1/08 03:00,0
1/1/08 04:00,0
1/1/08 05:00,0
1/1/08 06:00,0
1/1/08 07:00,0
1/1/08 08:00,17
1/1/08 09:00,211
1/1/08 10:00,427
1/1/08 11:00,593
1/1/08 12:00,697
1/1/08 13:00,732
1/1/08 14:00,695
1/1/08 15:00,589
1/1/08 16:00,421
1/1/08 17:00,203
1/1/08 18:00,14
1/1/08 19:00,0
1/1/08 20:00,0
1/1/08 21:00,0
1/1/08 22:00,0
1/1/08 23:00,0
1/1/08 00:00,0
1/2/08 01:00,0
1/2/08 02:00,0
1/2/08 03:00,0
1/2/08 04:00,0
1/2/08 05:00,0
1/2/08 06:00,0
1/2/08 07:00,0
1/2/08 08:00,17
1/2/08 09:00,211
1/2/08 10:00,427
1/2/08 11:00,594
1/2/08 12:00,698
1/2/08 13:00,734
1/2/08 14:00,697
1/2/08 15:00,591
1/2/08 16:00,424
1/2/08 17:00,207
1/2/08 18:00,15
1/2/08 19:00,0
1/2/08 20:00,0
1/2/08 21:00,0
1/2/08 22:00,0
1/2/08 23:00,0
1/2/08 00:00,0
1/3/08 01:00,0
1/3/08 02:00,0
1/3/08 03:00,0
1/3/08 04:00,0
1/3/08 05:00,0
1/3/08 06:00,0
1/3/08 07:00,0
1/3/08 08:00,17
1/3/08 09:00,210
1/3/08 10:00,427
1/3/08 11:00,594
1/3/08 12:00,700
1/3/08 13:00,735
1/3/08 14:00,700
1/3/08 15:00,594
1/3/08 16:00,427
1/3/08 17:00,210
1/3/08 18:00,17
1/3/08 19:00,0
1/3/08 20:00,0
1/3/08 21:00,0
1/3/08 22:00,0
1/3/08 23:00,0
1/3/08 00:00,0
1/4/08 01:00,0
1/4/08 02:00,0
1/4/08 03:00,0
1/4/08 04:00,0
1/4/08 05:00,0
1/4/08 06:00,0
1/4/08 07:00,0
1/4/08 08:00,17
1/4/08 09:00,210
1/4/08 10:00,428
1/4/08 11:00,595
1/4/08 12:00,701
1/4/08 13:00,738
1/4/08 14:00,702
1/4/08 15:00,597
1/4/08 16:00,430
1/4/08 17:00,214
1/4/08 18:00,18
1/4/08 19:00,0
1/4/08 20:00,0
1/4/08 21:00,0
1/4/08 22:00,0
1/4/08 23:00,0
1/4/08 00:00,0
1/5/08 01:00,0
1/5/08 02:00,0
1/5/08 03:00,0
1/5/08 04:00,0
1/5/08 05:00,0
1/5/08 06:00,0
1/5/08 07:00,0
1/5/08 08:00,17
1/5/08 09:00,210
1/5/08 10:00,428
1/5/08 11:00,597
1/5/08 12:00,703
1/5/08 13:00,740
1/5/08 14:00,705
1/5/08 15:00,601
1/5/08 16:00,434
1/5/08 17:00,217
1/5/08 18:00,19
1/5/08 19:00,0
1/5/08 20:00,0
1/5/08 21:00,0
1/5/08 22:00,0
1/5/08 23:00,0
1/5/08 00:00,0
1/6/08 01:00,0
1/6/08 02:00,0
1/6/08 03:00,0
1/6/08 04:00,0
1/6/08 05:00,0
1/6/08 06:00,0
1/6/08 07:00,0
1/6/08 08:00,17
1/6/08 09:00,210
1/6/08 10:00,429
1/6/08 11:00,598
1/6/08 12:00,705
1/6/08 13:00,742
1/6/08 14:00,708
1/6/08 15:00,604
1/6/08 16:00,437
1/6/08 17:00,221
1/6/08 18:00,21
1/6/08 19:00,0
1/6/08 20:00,0
1/6/08 21:00,0
1/6/08 22:00,0
1/6/08 23:00,0
1/6/08 00:00,0
1/7/08 01:00,0
1/7/08 02:00,0
1/7/08 03:00,0
1/7/08 04:00,0
1/7/08 05:00,0
1/7/08 06:00,0
1/7/08 07:00,0
1/7/08 08:00,17
1/7/08 09:00,211
1/7/08 10:00,430
1/7/08 11:00,599
1/7/08 12:00,707
1/7/08 13:00,745
1/7/08 14:00,711
1/7/08 15:00,607
1/7/08 16:00,441
1/7/08 17:00,225
1/7/08 18:00,22
1/7/08 19:00,0
1/7/08 20:00,0
1/7/08 21:00,0
1/7/08 22:00,0
1/7/08 23:00,0
1/7/08 00:00,0
1/8/08 01:00,0
1/8/08 02:00,0
1/8/08 03:00,0
1/8/08 04:00,0
1/8/08 05:00,0
1/8/08 06:00,0
1/8/08 07:00,0
1/8/08 08:00,17
1/8/08 09:00,211
1/8/08 10:00,431
1/8/08 11:00,601
1/8/08 12:00,709
1/8/08 13:00,747
1/8/08 14:00,714
1/8/08 15:00,611
1/8/08 16:00,445
1/8/08 17:00,229
1/8/08 18:00,24
1/8/08 19:00,0
1/8/08 20:00,0
1/8/08 21:00,0
1/8/08 22:00,0
1/8/08 23:00,0
1/8/08 00:00,0
1/9/08 01:00,0
1/9/08 02:00,0
1/9/08 03:00,0
1/9/08 04:00,0
1/9/08 05:00,0
1/9/08 06:00,0
1/9/08 07:00,0
1/9/08 08:00,17
1/9/08 09:00,212
1/9/08 10:00,432
1/9/08 11:00,602
1/9/08 12:00,711
1/9/08 13:00,750
1/9/08 14:00,717
1/9/08 15:00,615
1/9/08 16:00,449
1/9/08 17:00,233
1/9/08 18:00,26
1/9/08 19:00,0
1/9/08 20:00,0
1/9/08 21:00,0
1/9/08 22:00,0
1/9/08 23:00,0
1/9/08 00:00,0
1/10/08 01:00,0
1/10/08 02:00,0
1/10/08 03:00,0
1/10/08 04:00,0
1/10/08 05:00,0
1/10/08 06:00,0
1/10/08 07:00,0
1/10/08 08:00,17
1/10/08 09:00,213
1/10/08 10:00,433
1/10/08 11:00,604
1/10/08 12:00,713
1/10/08 13:00,753
1/10/08 14:00,721
1/10/08 15:00,618
1/10/08 16:00,453
1/10/08 17:00,237
1/10/08 18:00,27
1/10/08 19:00,0
1/10/08 20:00,0
1/10/08 21:00,0
1/10/08 22:00,0
1/10/08 23:00,0
1/10/08 00:00,0
1/11/08 01:00,0
1/11/08 02:00,0
1/11/08 03:00,0
1/11/08 04:00,0
1/11/08 05:00,0
1/11/08 06:00,0
1/11/08 07:00,0
1/11/08 08:00,17
1/11/08 09:00,213
1/11/08 10:00,435
1/11/08 11:00,606
1/11/08 12:00,716
1/11/08 13:00,756
1/11/08 14:00,724
1/11/08 15:00,622
1/11/08 16:00,457
1/11/08 17:00,241
1/11/08 18:00,29
1/11/08 19:00,0
1/11/08 20:00,0
1/11/08 21:00,0
1/11/08 22:00,0
1/11/08 23:00,0
1/11/08 00:00,0
1/12/08 01:00,0
1/12/08 02:00,0
1/12/08 03:00,0
1/12/08 04:00,0
1/12/08 05:00,0
1/12/08 06:00,0
1/12/08 07:00,0
1/12/08 08:00,17
1/12/08 09:00,215
1/12/08 10:00,436
1/12/08 11:00,608
1/12/08 12:00,719
1/12/08 13:00,759
1/12/08 14:00,728
1/12/08 15:00,626
1/12/08 16:00,461
1/12/08 17:00,245
1/12/08 18:00,31
1/12/08 19:00,0
1/12/08 20:00,0
1/12/08 21:00,0
1/12/08 22:00,0
1/12/08 23:00,0
1/12/08 00:00,0
1/13/08 01:00,0
1/13/08 02:00,0
1/13/08 03:00,0
1/13/08 04:00,0
1/13/08 05:00,0
1/13/08 06:00,0
1/13/08 07:00,0
1/13/08 08:00,18
1/13/08 09:00,216
1/13/08 10:00,438
1/13/08 11:00,611
1/13/08 12:00,722
1/13/08 13:00,763
1/13/08 14:00,732
1/13/08 15:00,630
1/13/08 16:00,466
1/13/08 17:00,249
1/13/08 18:00,33
1/13/08 19:00,0
1/13/08 20:00,0
1/13/08 21:00,0
1/13/08 22:00,0
1/13/08 23:00,0
1/13/08 00:00,0
1/14/08 01:00,0
1/14/08 02:00,0
1/14/08 03:00,0
1/14/08 04:00,0
1/14/08 05:00,0
1/14/08 06:00,0
1/14/08 07:00,0
1/14/08 08:00,18
1/14/08 09:00,217
1/14/08 10:00,440
1/14/08 11:00,613
1/14/08 12:00,725
1/14/08 13:00,766
1/14/08 14:00,736
1/14/08 15:00,634
1/14/08 16:00,470
1/14/08 17:00,254
1/14/08 18:00,35
1/14/08 19:00,0
1/14/08 20:00,0
1/14/08 21:00,0
1/14/08 22:00,0
1/14/08 23:00,0
1/14/08 00:00,0
1/15/08 01:00,0
1/15/08 02:00,0
1/15/08 03:00,0
1/15/08 04:00,0
1/15/08 05:00,0
1/15/08 06:00,0
1/15/08 07:00,0
1/15/08 08:00,18
1/15/08 09:00,219
1/15/08 10:00,442
1/15/08 11:00,616
1/15/08 12:00,728
1/15/08 13:00,770
1/15/08 14:00,740
1/15/08 15:00,639
1/15/08 16:00,474
1/15/08 17:00,258
1/15/08 18:00,38
1/15/08 19:00,0
1/15/08 20:00,0
1/15/08 21:00,0
1/15/08 22:00,0
1/15/08 23:00,0
1/15/08 00:00,0
1/16/08 01:00,0
1/16/08 02:00,0
1/16/08 03:00,0
1/16/08 04:00,0
1/16/08 05:00,0
1/16/08 06:00,0
1/16/08 07:00,0
1/16/08 08:00,19
1/16/08 09:00,220
1/16/08 10:00,444
1/16/08 11:00,618
1/16/08 12:00,731
1/16/08 13:00,774
1/16/08 14:00,744
1/16/08 15:00,643
1/16/08 16:00,479
1/16/08 17:00,263
1/16/08 18:00,40
1/16/08 19:00,0
1/16/08 20:00,0
1/16/08 21:00,0
1/16/08 22:00,0
1/16/08 23:00,0
1/16/08 00:00,0
1/17/08 01:00,0
1/17/08 02:00,0
1/17/08 03:00,0
1/17/08 04:00,0
1/17/08 05:00,0
1/17/08 06:00,0
1/17/08 07:00,0
1/17/08 08:00,19
1/17/08 09:00,222
1/17/08 10:00,446
1/17/08 11:00,621
1/17/08 12:00,734
1/17/08 13:00,777
1/17/08 14:00,748
1/17/08 15:00,648
1/17/08 16:00,483
1/17/08 17:00,267
1/17/08 18:00,43
1/17/08 19:00,0
1/17/08 20:00,0
1/17/08 21:00,0
1/17/08 22:00,0
1/17/08 23:00,0
1/17/08 00:00,0
1/18/08 01:00,0
1/18/08 02:00,0
1/18/08 03:00,0
1/18/08 04:00,0
1/18/08 05:00,0
1/18/08 06:00,0
1/18/08 07:00,0
1/18/08 08:00,20
1/18/08 09:00,224
1/18/08 10:00,449
1/18/08 11:00,624
1/18/08 12:00,738
1/18/08 13:00,781
1/18/08 14:00,752
1/18/08 15:00,652
1/18/08 16:00,488
1/18/08 17:00,272
1/18/08 18:00,45
1/18/08 19:00,0
1/18/08 20:00,0
1/18/08 21:00,0
1/18/08 22:00,0
1/18/08 23:00,0
1/18/08 00:00,0
1/19/08 01:00,0
1/19/08 02:00,0
1/19/08 03:00,0
1/19/08 04:00,0
1/19/08 05:00,0
1/19/08 06:00,0
1/19/08 07:00,0
1/19/08 08:00,21
1/19/08 09:00,226
1/19/08 10:00,451
1/19/08 11:00,627
1/19/08 12:00,741
1/19/08 13:00,785
1/19/08 14:00,757
1/19/08 15:00,657
1/19/08 16:00,493
1/19/08 17:00,277
1/19/08 18:00,48
1/19/08 19:00,0
1/19/08 20:00,0
1/19/08 21:00,0
1/19/08 22:00,0
1/19/08 23:00,0
1/19/08 00:00,0
1/20/08 01:00,0
1/20/08 02:00,0
1/20/08 03:00,0
1/20/08 04:00,0
1/20/08 05:00,0
1/20/08 06:00,0
1/20/08 07:00,0
1/20/08 08:00,21
1/20/08 09:00,228
1/20/08 10:00,454
1/20/08 11:00,631
1/20/08 12:00,745
1/20/08 13:00,790
1/20/08 14:00,761
1/20/08 15:00,661
1/20/08 16:00,498
1/20/08 17:00,281
1/20/08 18:00,51
1/20/08 19:00,0
1/20/08 20:00,0
1/20/08 21:00,0
1/20/08 22:00,0
1/20/08 23:00,0
1/20/08 00:00,0
1/21/08 01:00,0
