YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1998-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.063,1,0.063,1,0.326,1,0.17,0
1998-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,1,0.063,1,0.063,1,0.326,1,0.17,0
1998-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,1,0.063,1,0.063,1,0.326,1,0.17,0
1998-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,1,0.063,1,0.063,1,0.326,1,0.17,0
1998-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,1,0.063,1,0.063,1,0.326,1,0.17,0
1998-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,1,0.063,1,0.063,1,0.326,1,0.17,0
1998-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,1,0.063,1,0.063,1,0.326,1,0.17,0
1998-01-01,8:00,88.2,120.0,17,531,5,1,9,97,1,21,2,1,9,5,10,59,16,3,10,5,10,64,16,3,10,-9900,99,-9900,99,-9900,99,0.5,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,9:00,81.4,126.5,211,1415,121,0,9,522,0,21,43,0,9,107,10,502,16,32,10,107,10,502,16,32,10,-9900,99,-9900,99,-9900,99,0.6,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,10:00,72.4,137.2,427,1415,295,0,9,789,0,21,57,0,9,273,10,743,16,49,10,273,10,743,16,49,10,-9900,99,-9900,99,-9900,99,0.6,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,11:00,65.2,149.8,593,1415,432,0,9,876,0,21,65,0,9,415,10,844,16,61,10,415,10,844,16,61,10,-9900,99,-9900,99,-9900,99,0.6,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,12:00,60.5,164.4,697,1415,521,0,9,916,0,21,70,0,9,507,10,889,16,69,10,507,10,889,16,69,10,-9900,99,-9900,99,-9900,99,0.6,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,13:00,58.8,180.2,732,1415,551,0,9,927,0,21,71,0,9,538,10,901,16,72,10,538,10,901,16,72,10,-9900,99,-9900,99,-9900,99,0.7,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,14:00,60.5,196.1,696,1415,519,0,9,915,0,21,69,0,9,505,10,886,16,69,10,505,10,886,16,69,10,-9900,99,-9900,99,-9900,99,0.7,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,15:00,65.4,210.6,590,1415,428,0,9,874,0,21,64,0,9,411,10,838,16,61,10,411,10,838,16,61,10,-9900,99,-9900,99,-9900,99,0.7,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,16:00,72.6,223.1,422,1415,289,0,9,783,0,21,56,0,9,267,10,733,16,48,10,267,10,733,16,48,10,-9900,99,-9900,99,-9900,99,0.7,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,17:00,81.7,233.8,205,1415,120,0,9,564,0,21,39,0,9,102,10,487,16,32,10,102,10,487,16,32,10,-9900,99,-9900,99,-9900,99,0.8,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,18:00,88.3,240.2,15,507,5,1,9,93,1,21,2,1,9,4,10,58,16,2,10,4,10,58,16,2,10,-9900,99,-9900,99,-9900,99,0.8,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.063,1,0.062,1,0.326,1,0.17,0
1998-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.063,1,0.062,1,0.326,1,0.17,0
