YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2005-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.064,1,0.064,1,0.278,2,0.18,0
2005-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.064,1,0.064,1,0.272,2,0.18,0
2005-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.064,1,0.064,1,0.272,2,0.18,0
2005-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.064,1,0.064,1,0.272,2,0.18,0
2005-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.064,1,0.064,1,0.272,2,0.18,0
2005-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,3,0.064,1,0.064,1,0.272,2,0.18,0
2005-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.064,1,0.064,1,0.272,2,0.18,0
2005-01-01,8:00,88.1,120.2,18,554,2,1,9,0,1,21,2,1,9,2,10,0,16,2,10,6,10,80,16,3,10,-9900,99,-9900,99,-9900,99,2.6,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,9:00,81.4,126.9,212,1415,47,0,9,0,0,21,47,0,9,36,24,0,27,36,24,106,10,508,16,30,10,-9900,99,-9900,99,-9900,99,2.7,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,10:00,72.5,137.7,425,1415,135,0,9,33,0,21,125,0,9,85,10,0,16,85,10,263,10,726,16,45,10,-9900,99,-9900,99,-9900,99,2.7,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,11:00,65.4,150.3,589,1415,112,0,9,0,0,21,112,0,9,125,10,0,16,125,10,397,10,819,16,56,10,-9900,99,-9900,99,-9900,99,2.8,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,12:00,60.8,164.9,691,1415,195,0,9,9,0,21,191,0,9,150,24,0,27,150,24,483,10,860,16,63,10,-9900,99,-9900,99,-9900,99,2.8,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,13:00,59.3,180.7,723,1415,212,0,9,12,0,21,206,0,9,158,24,0,27,158,24,511,10,872,16,65,10,-9900,99,-9900,99,-9900,99,2.8,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,14:00,61.1,196.5,684,1415,170,0,9,4,0,21,168,0,9,186,24,0,27,186,24,478,10,858,16,63,10,-9900,99,-9900,99,-9900,99,2.8,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,15:00,65.9,210.9,577,1415,212,0,9,81,0,21,179,0,9,152,24,0,27,152,24,387,10,813,16,55,10,-9900,99,-9900,99,-9900,99,2.8,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,16:00,73.2,223.4,409,1415,257,0,9,463,0,21,124,0,9,101,24,0,27,101,24,249,10,713,16,43,10,-9900,99,-9900,99,-9900,99,2.8,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,17:00,82.2,234.0,191,1415,64,0,9,99,0,21,51,0,9,79,24,123,27,62,24,93,10,476,16,28,10,-9900,99,-9900,99,-9900,99,2.9,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,18:00,88.6,240.2,11,436,2,1,9,14,1,21,2,1,9,1,24,0,27,1,24,3,10,58,16,2,10,-9900,99,-9900,99,-9900,99,3.0,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.9,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.8,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.7,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.064,1,0.051,1,0.272,2,0.18,0
2005-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.064,1,0.051,1,0.270,2,0.18,0
2005-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.7,3,0.064,1,0.051,1,0.270,2,0.18,0
2005-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.7,3,0.064,1,0.051,1,0.270,2,0.18,0
