YYYY-MM-DD,HH:MM (LST),ETR (Wh/m^2)
1/1/05,01:00,0
1/1/05,02:00,0
1/1/05,03:00,0
1/1/05,04:00,0
1/1/05,05:00,0
1/1/05,06:00,0
1/1/05,07:00,0
1/1/05,08:00,4
1/1/05,09:00,136
1/1/05,10:00,308
1/1/05,11:00,433
1/1/05,12:00,503
1/1/05,13:00,512
1/1/05,14:00,459
1/1/05,15:00,349
1/1/05,16:00,189
1/1/05,17:00,24
1/1/05,18:00,0
1/1/05,19:00,0
1/1/05,20:00,0
1/1/05,21:00,0
1/1/05,22:00,0
1/1/05,23:00,0
1/1/05,24:00:00,0
1/2/05,01:00,0
1/2/05,02:00,0
1/2/05,03:00,0
1/2/05,04:00,0
1/2/05,05:00,0
1/2/05,06:00,0
1/2/05,07:00,0
1/2/05,08:00,4
1/2/05,09:00,137
1/2/05,10:00,308
1/2/05,11:00,435
1/2/05,12:00,505
1/2/05,13:00,514
1/2/05,14:00,462
1/2/05,15:00,352
1/2/05,16:00,192
1/2/05,17:00,25
1/2/05,18:00,0
1/2/05,19:00,0
1/2/05,20:00,0
1/2/05,21:00,0
1/2/05,22:00,0
1/2/05,23:00,0
1/2/05,24:00:00,0
1/3/05,01:00,0
1/3/05,02:00,0
1/3/05,03:00,0
1/3/05,04:00,0
1/3/05,05:00,0
1/3/05,06:00,0
1/3/05,07:00,0
1/3/05,08:00,4
1/3/05,09:00,137
1/3/05,10:00,309
1/3/05,11:00,436
1/3/05,12:00,507
1/3/05,13:00,516
1/3/05,14:00,465
1/3/05,15:00,355
1/3/05,16:00,195
1/3/05,17:00,27
1/3/05,18:00,0
1/3/05,19:00,0
1/3/05,20:00,0
1/3/05,21:00,0
1/3/05,22:00,0
1/3/05,23:00,0
1/3/05,24:00:00,0
1/4/05,01:00,0
1/4/05,02:00,0
1/4/05,03:00,0
1/4/05,04:00,0
1/4/05,05:00,0
1/4/05,06:00,0
1/4/05,07:00,0
1/4/05,08:00,4
1/4/05,09:00,138
1/4/05,10:00,311
1/4/05,11:00,438
1/4/05,12:00,509
1/4/05,13:00,519
1/4/05,14:00,468
1/4/05,15:00,358
1/4/05,16:00,199
1/4/05,17:00,29
1/4/05,18:00,0
1/4/05,19:00,0
1/4/05,20:00,0
1/4/05,21:00,0
1/4/05,22:00,0
1/4/05,23:00,0
1/4/05,24:00:00,0
1/5/05,01:00,0
1/5/05,02:00,0
1/5/05,03:00,0
1/5/05,04:00,0
1/5/05,05:00,0
1/5/05,06:00,0
1/5/05,07:00,0
1/5/05,08:00,5
1/5/05,09:00,139
1/5/05,10:00,312
1/5/05,11:00,439
1/5/05,12:00,511
1/5/05,13:00,522
1/5/05,14:00,471
1/5/05,15:00,362
1/5/05,16:00,203
1/5/05,17:00,31
1/5/05,18:00,0
1/5/05,19:00,0
1/5/05,20:00,0
1/5/05,21:00,0
1/5/05,22:00,0
1/5/05,23:00,0
1/5/05,24:00:00,0
1/6/05,01:00,0
1/6/05,02:00,0
1/6/05,03:00,0
1/6/05,04:00,0
1/6/05,05:00,0
1/6/05,06:00,0
1/6/05,07:00,0
1/6/05,08:00,5
1/6/05,09:00,140
1/6/05,10:00,313
1/6/05,11:00,441
1/6/05,12:00,513
1/6/05,13:00,525
1/6/05,14:00,474
1/6/05,15:00,365
1/6/05,16:00,206
1/6/05,17:00,33
1/6/05,18:00,0
1/6/05,19:00,0
1/6/05,20:00,0
1/6/05,21:00,0
1/6/05,22:00,0
1/6/05,23:00,0
1/6/05,24:00:00,0
1/7/05,01:00,0
1/7/05,02:00,0
1/7/05,03:00,0
1/7/05,04:00,0
1/7/05,05:00,0
1/7/05,06:00,0
1/7/05,07:00,0
1/7/05,08:00,5
1/7/05,09:00,141
1/7/05,10:00,315
1/7/05,11:00,443
1/7/05,12:00,516
1/7/05,13:00,528
1/7/05,14:00,478
1/7/05,15:00,369
1/7/05,16:00,210
1/7/05,17:00,35
1/7/05,18:00,0
1/7/05,19:00,0
1/7/05,20:00,0
1/7/05,21:00,0
1/7/05,22:00,0
1/7/05,23:00,0
1/7/05,24:00:00,0
1/8/05,01:00,0
1/8/05,02:00,0
1/8/05,03:00,0
1/8/05,04:00,0
1/8/05,05:00,0
1/8/05,06:00,0
1/8/05,07:00,0
1/8/05,08:00,5
1/8/05,09:00,142
1/8/05,10:00,317
1/8/05,11:00,446
1/8/05,12:00,519
1/8/05,13:00,531
1/8/05,14:00,481
1/8/05,15:00,373
1/8/05,16:00,214
1/8/05,17:00,37
1/8/05,18:00,0
1/8/05,19:00,0
1/8/05,20:00,0
1/8/05,21:00,0
1/8/05,22:00,0
1/8/05,23:00,0
1/8/05,24:00:00,0
1/9/05,01:00,0
1/9/05,02:00,0
1/9/05,03:00,0
1/9/05,04:00,0
1/9/05,05:00,0
1/9/05,06:00,0
1/9/05,07:00,0
1/9/05,08:00,5
1/9/05,09:00,143
1/9/05,10:00,319
1/9/05,11:00,448
1/9/05,12:00,522
1/9/05,13:00,534
1/9/05,14:00,485
1/9/05,15:00,377
1/9/05,16:00,218
1/9/05,17:00,40
1/9/05,18:00,0
1/9/05,19:00,0
1/9/05,20:00,0
1/9/05,21:00,0
1/9/05,22:00,0
1/9/05,23:00,0
1/9/05,24:00:00,0
1/10/05,01:00,0
1/10/05,02:00,0
1/10/05,03:00,0
1/10/05,04:00,0
1/10/05,05:00,0
1/10/05,06:00,0
1/10/05,07:00,0
1/10/05,08:00,6
1/10/05,09:00,145
1/10/05,10:00,321
1/10/05,11:00,451
1/10/05,12:00,525
1/10/05,13:00,538
1/10/05,14:00,489
1/10/05,15:00,381
1/10/05,16:00,223
1/10/05,17:00,42
1/10/05,18:00,0
1/10/05,19:00,0
1/10/05,20:00,0
1/10/05,21:00,0
1/10/05,22:00,0
1/10/05,23:00,0
1/10/05,24:00:00,0
1/11/05,01:00,0
1/11/05,02:00,0
1/11/05,03:00,0
1/11/05,04:00,0
1/11/05,05:00,0
1/11/05,06:00,0
1/11/05,07:00,0
1/11/05,08:00,6
1/11/05,09:00,147
1/11/05,10:00,323
1/11/05,11:00,453
1/11/05,12:00,528
1/11/05,13:00,541
1/11/05,14:00,493
1/11/05,15:00,385
1/11/05,16:00,227
1/11/05,17:00,45
1/11/05,18:00,0
1/11/05,19:00,0
1/11/05,20:00,0
1/11/05,21:00,0
1/11/05,22:00,0
1/11/05,23:00,0
1/11/05,24:00:00,0
1/12/05,01:00,0
1/12/05,02:00,0
1/12/05,03:00,0
1/12/05,04:00,0
1/12/05,05:00,0
1/12/05,06:00,0
1/12/05,07:00,0
1/12/05,08:00,6
1/12/05,09:00,149
1/12/05,10:00,325
1/12/05,11:00,456
1/12/05,12:00,531
1/12/05,13:00,545
1/12/05,14:00,497
1/12/05,15:00,390
1/12/05,16:00,232
1/12/05,17:00,48
1/12/05,18:00,0
1/12/05,19:00,0
1/12/05,20:00,0
1/12/05,21:00,0
1/12/05,22:00,0
1/12/05,23:00,0
1/12/05,24:00:00,0
1/13/05,01:00,0
1/13/05,02:00,0
1/13/05,03:00,0
1/13/05,04:00,0
1/13/05,05:00,0
1/13/05,06:00,0
1/13/05,07:00,0
1/13/05,08:00,7
1/13/05,09:00,151
1/13/05,10:00,328
