YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2002-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,3,0.069,1,0.069,1,0.270,1,0.41,0
2002-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,3,0.069,1,0.069,1,0.270,1,0.41,0
2002-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.069,1,0.069,1,0.270,1,0.41,0
2002-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.069,1,0.069,1,0.270,1,0.41,0
2002-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.069,1,0.069,1,0.270,1,0.41,0
2002-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.069,1,0.069,1,0.270,1,0.41,0
2002-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.069,1,0.069,1,0.270,1,0.41,0
2002-01-01,8:00,89.2,124.4,4,295,0,1,8,0,1,15,0,1,8,0,10,0,16,0,10,1,10,30,16,0,10,-9900,99,-9900,99,-9900,99,1.7,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,9:00,84.5,131.2,136,1415,12,0,8,0,0,15,12,0,8,23,10,0,16,23,10,60,10,354,16,26,10,-9900,99,-9900,99,-9900,99,1.7,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,10:00,77.4,143.1,308,1415,33,0,8,0,0,15,33,0,8,63,10,0,16,63,10,176,10,609,16,44,10,-9900,99,-9900,99,-9900,99,1.7,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,11:00,72.2,156.3,433,1415,65,0,8,0,0,15,65,0,8,96,10,0,16,96,10,275,10,718,16,55,10,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,12:00,69.2,170.6,502,1415,126,0,8,1,0,15,126,0,8,116,10,0,16,116,10,332,10,762,16,61,10,-9900,99,-9900,99,-9900,99,2.0,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,13:00,68.8,185.3,511,1415,68,0,8,0,0,15,68,0,8,118,10,0,16,118,10,339,10,766,16,62,10,-9900,99,-9900,99,-9900,99,2.1,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,14:00,71.1,199.8,458,1415,73,0,8,0,0,15,73,0,8,103,10,0,16,103,10,295,10,733,16,57,10,-9900,99,-9900,99,-9900,99,2.1,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,15:00,75.8,213.4,348,1415,37,0,8,0,0,15,37,0,8,73,10,0,16,73,10,206,10,646,16,47,10,-9900,99,-9900,99,-9900,99,2.0,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,16:00,82.4,225.7,188,1415,105,0,8,266,0,15,70,0,8,34,10,0,16,34,10,92,10,445,16,33,10,-9900,99,-9900,99,-9900,99,2.0,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,17:00,88.1,234.1,23,696,7,1,8,62,1,15,5,1,8,3,10,0,16,3,10,7,10,85,16,4,10,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.270,1,0.41,0
2002-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.273,1,0.41,0
2002-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.273,1,0.41,0
2002-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,3,0.069,1,0.061,1,0.273,1,0.41,0
2002-01-02,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,3,0.069,1,0.061,1,0.273,1,0.41,0
2002-01-02,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.069,1,0.061,1,0.273,1,0.41,0
2002-01-02,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.8,3,0.069,1,0.061,1,0.273,1,0.41,0
2002-01-02,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,3,0.069,1,0.061,1,0.273,1,0.41,0
2002-01-02,8:00,89.2,124.3,4,295,1,1,8,24,1,15,1,1,8,0,11,0,16,0,11,1,10,8,16,0,10,-9900,99,-9900,99,-9900,99,1.7,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,9:00,84.5,131.0,137,1415,73,0,8,243,0,15,50,0,8,26,11,0,16,26,11,54,10,224,16,32,10,-9900,99,-9900,99,-9900,99,1.8,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,10:00,77.4,143.0,308,1415,33,0,8,0,0,15,33,0,8,54,11,0,16,54,11,165,10,490,16,58,10,-9900,99,-9900,99,-9900,99,1.8,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,11:00,72.1,156.2,434,1415,79,0,8,0,0,15,79,0,8,86,10,0,16,86,10,263,10,618,16,73,10,-9900,99,-9900,99,-9900,99,1.7,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,12:00,69.1,170.5,504,1415,58,0,8,0,0,15,58,0,8,105,10,0,16,105,10,321,10,672,16,82,10,-9900,99,-9900,99,-9900,99,1.6,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,13:00,68.7,185.2,513,1415,71,0,8,0,0,15,71,0,8,107,10,0,16,107,10,330,10,680,16,83,10,-9900,99,-9900,99,-9900,99,1.6,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,14:00,71.0,199.7,461,1415,52,0,8,0,0,15,52,0,8,93,10,0,16,93,10,286,10,644,16,76,10,-9900,99,-9900,99,-9900,99,1.5,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,15:00,75.6,213.3,351,1415,39,0,8,0,0,15,39,0,8,64,11,0,16,64,11,198,10,544,16,63,10,-9900,99,-9900,99,-9900,99,1.4,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,16:00,82.2,225.6,191,1415,107,0,8,269,0,15,71,0,8,34,11,0,16,34,11,86,10,327,16,42,10,-9900,99,-9900,99,-9900,99,1.2,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,17:00,88.0,234.2,25,719,7,1,8,64,1,15,5,1,8,4,10,0,16,4,10,6,10,35,16,5,10,-9900,99,-9900,99,-9900,99,1.2,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-02,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.109,1,0.273,1,0.41,0
2002-01-03,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.109,1,0.335,1,0.41,0
2002-01-03,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.069,1,0.109,1,0.335,1,0.41,0
2002-01-03,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.069,1,0.109,1,0.335,1,0.41,0
2002-01-03,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.069,1,0.109,1,0.335,1,0.41,0
2002-01-03,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.069,1,0.109,1,0.335,1,0.41,0
2002-01-03,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.069,1,0.109,1,0.335,1,0.41,0
2002-01-03,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.069,1,0.109,1,0.335,1,0.41,0
2002-01-03,8:00,89.2,124.2,4,295,0,1,8,0,1,15,0,1,8,0,11,0,16,0,11,1,10,37,16,0,10,-9900,99,-9900,99,-9900,99,0.9,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,9:00,84.4,130.9,137,1415,12,0,8,0,0,15,12,0,8,16,10,0,16,16,10,62,10,384,16,25,10,-9900,99,-9900,99,-9900,99,0.9,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,10:00,77.4,142.8,309,1415,112,0,8,112,0,15,88,0,8,46,24,0,27,46,24,181,10,640,16,42,10,-9900,99,-9900,99,-9900,99,1.0,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,11:00,72.1,156.1,436,1415,248,0,8,421,0,15,119,0,8,69,10,0,16,69,10,283,10,750,16,52,10,-9900,99,-9900,99,-9900,99,1.0,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,12:00,69.0,170.3,506,1415,174,0,8,58,0,15,153,0,8,83,10,0,16,83,10,342,10,794,16,58,10,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,13:00,68.6,185.1,516,1415,178,0,8,65,0,15,154,0,8,85,10,0,16,85,10,350,10,799,16,59,10,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,14:00,70.9,199.6,464,1415,321,0,8,582,0,15,131,0,8,75,10,0,16,75,10,306,10,767,16,55,10,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,15:00,75.5,213.2,354,1415,236,0,8,719,0,15,56,0,8,169,10,83,16,148,10,216,10,682,16,45,10,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,16:00,82.1,225.6,194,1415,109,0,8,500,0,15,40,0,8,63,10,96,16,50,10,98,10,486,16,32,10,-9900,99,-9900,99,-9900,99,1.0,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,17:00,88.0,234.2,26,743,8,1,8,124,1,15,3,1,8,9,10,108,16,5,10,9,10,108,16,5,10,-9900,99,-9900,99,-9900,99,1.0,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-03,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.069,1,0.054,1,0.335,1,0.41,0
2002-01-04,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.069,1,0.054,1,0.295,1,0.41,0
