YYYY-MM-DD,HH:MM (LST),ETR (Wh/m^2)
1/1/05,01:00,0
1/1/05,02:00,0
1/1/05,03:00,0
1/1/05,04:00,0
1/1/05,05:00,0
1/1/05,06:00,0
1/1/05,07:00,0
1/1/05,08:00,44
1/1/05,09:00,273
1/1/05,10:00,493
1/1/05,11:00,660
1/1/05,12:00,762
1/1/05,13:00,791
1/1/05,14:00,747
1/1/05,15:00,631
1/1/05,16:00,452
1/1/05,17:00,224
1/1/05,18:00,19
1/1/05,19:00,0
1/1/05,20:00,0
1/1/05,21:00,0
1/1/05,22:00,0
1/1/05,23:00,0
1/1/05,24:00:00,0
1/2/05,01:00,0
1/2/05,02:00,0
1/2/05,03:00,0
1/2/05,04:00,0
1/2/05,05:00,0
1/2/05,06:00,0
1/2/05,07:00,0
1/2/05,08:00,43
1/2/05,09:00,272
1/2/05,10:00,493
1/2/05,11:00,661
1/2/05,12:00,763
1/2/05,13:00,793
1/2/05,14:00,749
1/2/05,15:00,634
1/2/05,16:00,456
1/2/05,17:00,227
1/2/05,18:00,20
1/2/05,19:00,0
1/2/05,20:00,0
1/2/05,21:00,0
1/2/05,22:00,0
1/2/05,23:00,0
1/2/05,24:00:00,0
1/3/05,01:00,0
1/3/05,02:00,0
1/3/05,03:00,0
1/3/05,04:00,0
1/3/05,05:00,0
1/3/05,06:00,0
1/3/05,07:00,0
1/3/05,08:00,43
1/3/05,09:00,272
1/3/05,10:00,493
1/3/05,11:00,661
1/3/05,12:00,764
1/3/05,13:00,795
1/3/05,14:00,752
1/3/05,15:00,637
1/3/05,16:00,459
1/3/05,17:00,230
1/3/05,18:00,21
1/3/05,19:00,0
1/3/05,20:00,0
1/3/05,21:00,0
1/3/05,22:00,0
1/3/05,23:00,0
1/3/05,24:00:00,0
1/4/05,01:00,0
1/4/05,02:00,0
1/4/05,03:00,0
1/4/05,04:00,0
1/4/05,05:00,0
1/4/05,06:00,0
1/4/05,07:00,0
1/4/05,08:00,43
1/4/05,09:00,272
1/4/05,10:00,494
1/4/05,11:00,662
1/4/05,12:00,766
1/4/05,13:00,797
1/4/05,14:00,755
1/4/05,15:00,640
1/4/05,16:00,462
1/4/05,17:00,234
1/4/05,18:00,23
1/4/05,19:00,0
1/4/05,20:00,0
1/4/05,21:00,0
1/4/05,22:00,0
1/4/05,23:00,0
1/4/05,24:00:00,0
1/5/05,01:00,0
1/5/05,02:00,0
1/5/05,03:00,0
1/5/05,04:00,0
1/5/05,05:00,0
1/5/05,06:00,0
1/5/05,07:00,0
1/5/05,08:00,42
1/5/05,09:00,272
1/5/05,10:00,494
1/5/05,11:00,664
1/5/05,12:00,768
1/5/05,13:00,800
1/5/05,14:00,757
1/5/05,15:00,644
1/5/05,16:00,466
1/5/05,17:00,238
1/5/05,18:00,24
1/5/05,19:00,0
1/5/05,20:00,0
1/5/05,21:00,0
1/5/05,22:00,0
1/5/05,23:00,0
1/5/05,24:00:00,0
1/6/05,01:00,0
1/6/05,02:00,0
1/6/05,03:00,0
1/6/05,04:00,0
1/6/05,05:00,0
1/6/05,06:00,0
1/6/05,07:00,0
1/6/05,08:00,42
1/6/05,09:00,272
1/6/05,10:00,495
1/6/05,11:00,665
1/6/05,12:00,770
1/6/05,13:00,802
1/6/05,14:00,760
1/6/05,15:00,647
1/6/05,16:00,470
1/6/05,17:00,241
1/6/05,18:00,26
1/6/05,19:00,0
1/6/05,20:00,0
1/6/05,21:00,0
1/6/05,22:00,0
1/6/05,23:00,0
1/6/05,24:00:00,0
1/7/05,01:00,0
1/7/05,02:00,0
1/7/05,03:00,0
1/7/05,04:00,0
1/7/05,05:00,0
1/7/05,06:00,0
1/7/05,07:00,0
1/7/05,08:00,42
1/7/05,09:00,273
1/7/05,10:00,496
1/7/05,11:00,666
1/7/05,12:00,772
1/7/05,13:00,805
1/7/05,14:00,764
1/7/05,15:00,650
1/7/05,16:00,473
1/7/05,17:00,245
1/7/05,18:00,27
1/7/05,19:00,0
1/7/05,20:00,0
1/7/05,21:00,0
1/7/05,22:00,0
1/7/05,23:00,0
1/7/05,24:00:00,0
1/8/05,01:00,0
1/8/05,02:00,0
1/8/05,03:00,0
1/8/05,04:00,0
1/8/05,05:00,0
1/8/05,06:00,0
1/8/05,07:00,0
1/8/05,08:00,42
1/8/05,09:00,273
1/8/05,10:00,497
1/8/05,11:00,668
1/8/05,12:00,774
1/8/05,13:00,808
1/8/05,14:00,767
1/8/05,15:00,654
1/8/05,16:00,477
1/8/05,17:00,249
1/8/05,18:00,29
1/8/05,19:00,0
1/8/05,20:00,0
1/8/05,21:00,0
1/8/05,22:00,0
1/8/05,23:00,0
1/8/05,24:00:00,0
1/9/05,01:00,0
1/9/05,02:00,0
1/9/05,03:00,0
1/9/05,04:00,0
1/9/05,05:00,0
1/9/05,06:00,0
1/9/05,07:00,0
1/9/05,08:00,42
1/9/05,09:00,274
1/9/05,10:00,498
1/9/05,11:00,670
1/9/05,12:00,776
1/9/05,13:00,810
1/9/05,14:00,770
1/9/05,15:00,658
1/9/05,16:00,481
1/9/05,17:00,253
1/9/05,18:00,31
1/9/05,19:00,0
1/9/05,20:00,0
1/9/05,21:00,0
1/9/05,22:00,0
1/9/05,23:00,0
1/9/05,24:00:00,0
1/10/05,01:00,0
1/10/05,02:00,0
1/10/05,03:00,0
1/10/05,04:00,0
1/10/05,05:00,0
1/10/05,06:00,0
1/10/05,07:00,0
1/10/05,08:00,43
1/10/05,09:00,274
1/10/05,10:00,499
1/10/05,11:00,671
1/10/05,12:00,779
1/10/05,13:00,813
1/10/05,14:00,774
1/10/05,15:00,662
1/10/05,16:00,485
1/10/05,17:00,257
1/10/05,18:00,33
1/10/05,19:00,0
1/10/05,20:00,0
1/10/05,21:00,0
1/10/05,22:00,0
1/10/05,23:00,0
1/10/05,24:00:00,0
1/11/05,01:00,0
1/11/05,02:00,0
1/11/05,03:00,0
1/11/05,04:00,0
1/11/05,05:00,0
1/11/05,06:00,0
1/11/05,07:00,0
1/11/05,08:00,43
1/11/05,09:00,275
1/11/05,10:00,501
1/11/05,11:00,673
1/11/05,12:00,781
1/11/05,13:00,817
1/11/05,14:00,777
1/11/05,15:00,665
1/11/05,16:00,489
1/11/05,17:00,261
1/11/05,18:00,35
1/11/05,19:00,0
1/11/05,20:00,0
1/11/05,21:00,0
1/11/05,22:00,0
1/11/05,23:00,0
1/11/05,24:00:00,0
1/12/05,01:00,0
1/12/05,02:00,0
1/12/05,03:00,0
1/12/05,04:00,0
1/12/05,05:00,0
1/12/05,06:00,0
1/12/05,07:00,0
1/12/05,08:00,43
1/12/05,09:00,276
1/12/05,10:00,502
1/12/05,11:00,676
1/12/05,12:00,784
1/12/05,13:00,820
1/12/05,14:00,781
1/12/05,15:00,669
1/12/05,16:00,494
1/12/05,17:00,266
1/12/05,18:00,37
1/12/05,19:00,0
1/12/05,20:00,0
1/12/05,21:00,0
1/12/05,22:00,0
1/12/05,23:00,0
1/12/05,24:00:00,0
1/13/05,01:00,0
1/13/05,02:00,0
1/13/05,03:00,0
1/13/05,04:00,0
1/13/05,05:00,0
1/13/05,06:00,0
1/13/05,07:00,0
1/13/05,08:00,44
1/13/05,09:00,277
1/13/05,10:00,504
