PUBLISHDATE,VERSION,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1/1/2015,0,27.9,27.89,27.33,27.07,26.21,25.11,25.45,25.51,25.01,24.54,23.67,23.46,23.16,21.6,18.86,18.68,24.51,31.13,25.47,26.67,26.68,24.82,23.33,23.47
1/2/2015,0,22.54,23.45,22.57,22.64,24.39,24.68,24.42,24.93,26.05,25.96,27.02,26.83,26.25,25.56,25.49,25.5,26.67,29.64,27.92,26.65,27.19,26.92,25.96,24.19
1/3/2015,0,26.41,25.79,24.23,24.32,24.72,25.12,25.29,25.76,26.39,27.74,30.68,30.45,29.88,29.27,28.17,27.59,28.8,32.87,29.06,28.66,25.99,25.44,23.33,19.06
1/4/2015,0,18.48,18.49,13.42,16.37,15.18,19.17,18,15.48,15.45,19.62,22.17,22.34,22.85,24.04,23.56,23.55,25.12,27.78,26.75,25.68,25.72,22.66,20.05,16.93
1/5/2015,0,6.84,11.97,17.02,18.8,22.98,25.09,36.34,28.03,28.03,28.01,27.69,28.02,27.57,27.61,27.45,26.99,28.91,42.86,37.6,36.57,36.66,31.63,28.47,27.48
1/6/2015,0,33.58,32.88,31.07,29.67,29.81,36.15,67.24,47.73,37.51,42.77,48.65,74.05,42.23,40.17,36.22,35.75,40.7,72.84,41.55,38.74,39.52,36.83,34.43,34.05
1/7/2015,0,29.5,32.76,31.22,32.5,33.64,39.89,43.4,54.44,57.56,52.18,59.51,60.64,71.41,62.16,58.45,63.98,86.69,263.21,176.45,123.14,109.26,147.57,100.61,49.32
1/8/2015,0,59.66,75.68,68.22,77.65,107.31,161.82,129.59,242.13,174.49,96.14,111.24,91.33,60.52,89.53,53.88,59.82,74.52,99.35,63.9,61.02,70.29,49.12,33.27,35.8
1/9/2015,0,32.72,34.14,31.97,29.27,28.68,28.98,38.5,36.82,41.81,38.96,39.18,34.18,33.24,29.38,31.22,30.64,32.79,46.08,49.41,43.67,41.34,37.1,34.46,31.66
1/10/2015,0,32.58,32.77,31.89,32.39,32.99,33.45,43.74,40.8,40.72,39.7,38.92,35.12,31.77,30.1,29.3,30.74,32.32,49.66,38.67,56.27,51.1,37.62,40.59,33.55
1/11/2015,0,41.99,40.1,40.85,53.73,35.92,40.88,46.33,46.69,36.76,33.37,31.3,30.22,29.68,28.1,27.18,28.83,31.46,37.25,34.01,31.83,30.36,28.24,27.48,26.15
1/12/2015,0,27.52,27.29,26,27.29,28.94,29.66,35.53,65.64,41.06,42.04,39.18,40.39,39.92,37.35,36.63,39.1,36.4,39.66,37.77,35.6,36.38,29.97,26.61,26.7
1/13/2015,0,26.66,26.24,27.25,26.91,28.84,35.23,46.69,61.83,43.08,40.46,36.66,40.71,35.71,35.91,36.41,37.29,58.55,99.7,70.8,50.55,52.1,55.18,41.62,37.92
1/14/2015,0,37.91,35.6,36.4,36.17,37.08,43.42,174.59,87.93,59.74,99.5,88.38,101.09,49.48,39.25,42.65,53.51,53.87,64.31,97.71,61.18,50.3,56.76,32.59,33.17
1/15/2015,0,34.29,31.77,31.46,31.37,32.25,37.12,48.62,59.4,45.14,38.11,37.43,31.58,32.38,32.63,31.33,30.99,29.25,40.03,34.82,36.61,35.28,28.29,26.19,26.52
1/16/2015,0,31.12,29.67,28.79,29.42,30.43,34.45,45.16,58.6,36.96,37.33,34.39,34.53,32.21,30.62,28.53,27.47,27.91,33.01,35.77,34.88,34.93,28.99,28.53,28.14
1/17/2015,0,27.77,29.81,29.42,27.63,28.69,32.77,40,43.36,35.64,33.38,30.98,27.29,25.92,23.2,23.88,23.09,25.12,29.37,28.54,29.07,27.8,26.14,24.39,23.96
1/18/2015,0,25.2,26.16,24.89,24.37,24.26,24,25.19,25.15,25.31,26.74,26.87,27.03,27.37,27.3,26.95,25.58,25.98,27.16,27.95,27.71,26.31,26.12,25.29,25.4
